,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.018867924528301886,0.9142857142857143,0.046511627906976744,0.06976744186046512,0.06818181818181818,0.6981132075471698,0.12790697674418605,0.9550561797752808,0.8409090909090909,0.24615384615384617
1,0.6792452830188679,0.05714285714285714,0.8837209302325582,0.046511627906976744,0.6590909090909091,0.24528301886792453,0.8139534883720931,0.011235955056179773,0.022727272727272728,0.7076923076923077
2,0.3018867924528302,0.02857142857142857,0.06976744186046512,0.8837209302325582,0.2727272727272727,0.05660377358490566,0.058139534883720936,0.03370786516853932,0.13636363636363635,0.046153846153846156
포착군집,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
