,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,463.0,524.0,535.0,555.0,699.0,573.0,397.0,849.0,634.0,622.0,666.0
1,614.0,525.0,561.0,567.0,552.0,567.0,801.0,671.0,691.0,667.0,732.0
2,536.0,573.0,541.0,555.0,498.0,669.0,689.0,424.0,680.0,761.0,684.0
기업수,1613.0,1622.0,1637.0,1677.0,1749.0,1809.0,1887.0,1944.0,2005.0,2050.0,2082.0
