,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,426.0,484.0,527.0,449.0,618.0,467.0,737.0,735.0,539.0,648.0,482.0
1,549.0,522.0,621.0,586.0,631.0,710.0,517.0,510.0,754.0,787.0,906.0
2,619.0,599.0,472.0,624.0,482.0,610.0,611.0,674.0,684.0,591.0,668.0
기업수,1594.0,1605.0,1620.0,1659.0,1731.0,1787.0,1865.0,1919.0,1977.0,2026.0,2056.0
