,BW금액/총자본,CB금액/총자본,유상증자금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본,최대주주변경을수반하는주식양수도금액/총자본,타법인주식및출자증권취득결정금액/총자본,당기순이익/총자본,매출채권/총자본,매출총이익/총자본,영업이익/총자본,영업현금흐름/총자본,판매 및 관리비/총자본,불성실공시법인지정카운트,조회공시요구카운트,최대주주변경카운트,결산기간_거래량증가,결산기간_주가변동률,차입금의존도,총자본,최대주주비율,최대주주비율_변동성
2012-01,81.81066762984494,24.371572967521686,160.44479680718524,0.0,35.76406686683806,58.295079233079115,-0.11384194393494132,0.6015933060226477,0.05535268377460718,-0.08220543892392147,-0.04555798775956289,0.13755836705919233,0.1431924882629108,0.5305164319248826,0.1619718309859155,1.1222142565921376,0.9335002687822479,31.270827464788752,68373267.03088814,30.190369827161913,-0.001129730282503685
2013-01,102.05109601654583,30.048016330385508,53.85944107769513,0.0,27.955764358311036,87.7843499855389,-0.30879627649712094,0.9490367069018214,0.08285863898605994,-0.10270977490348436,-0.030596593824403735,0.18557553175715819,0.10330578512396695,0.46487603305785125,0.16735537190082644,inf,2.1010496786572177,34.15235192837466,165143532.84484333,30.50484044567872,0.005690006046957356
2014-01,20.141317889066936,50.25624740426023,125.51221121597865,0.0,399.10849895919824,68.88368556657876,-1.5341039874368327,1.1533143662829168,-0.5449018588614233,-1.4114988113518463,0.03744789309655951,0.8665969498631513,0.09110169491525423,0.4152542372881356,0.1652542372881356,inf,1.964249505655699,35.71735346045198,193021466.21176025,30.3363239657558,inf
2015-01,4.303576856473734,133.37732084621015,239.2065444308114,6.060101587275243,75.11487321214335,66.06475526522043,-0.5796669502571827,1.1833594305033721,0.009783740752119605,-0.808093818029414,-0.7443617505901937,0.8178775808656493,0.10690423162583519,0.5367483296213809,0.26280623608017817,inf,1.37135049281664,32.07774498886415,122905782.38663141,29.40498628583231,inf
2016-01,13.493094982085502,255.4836395559546,56.11008032353851,49.04256224262611,64.68811290670291,55.752267223766594,-0.06299440608562394,0.4181057666721717,0.06727657620506217,-0.02904342244936079,-0.025911405086741904,0.09633904687521919,0.13485477178423236,0.5414937759336099,0.3278008298755187,inf,0.9629953234482409,29.520814315352695,62364157.774362035,27.615665804743106,inf
2017-01,12.103775478578314,196.01588621548734,21.85456588699279,51.514063226493036,73.99045679637463,50.90658023680857,-0.14230695207345162,0.365612672645455,0.0682054064215025,-0.04638241020412369,-0.02346741108234363,0.11458781695566646,0.13276231263383298,0.3875802997858672,0.291220556745182,inf,0.7521280780047301,26.947168094218416,53876251.539229125,25.86959636247324,inf
2018-01,19.70097333813113,308.89714597907476,35.240504196931965,45.86903932477937,94.11834294206366,83.14183451438348,-0.07758207214083065,0.41197001001616546,0.062240545992606096,-0.038271786593210726,-0.02390681210627388,0.10051233245574157,0.15473887814313347,0.2514506769825919,0.2978723404255319,inf,0.9727686694769703,28.8757833655706,55807656.05780464,26.623650328978655,inf
2019-01,24.187892256365433,294.6549768778201,55.970497091890714,53.50865713378888,63.98990047837595,83.48500054158954,-0.11350034948997054,0.3484522557913559,0.06682070164796186,-0.05576755545883065,-0.0321580086581761,0.12258822185702356,0.1784313725490196,0.1843137254901961,0.24705882352941178,inf,0.6462684696399091,30.45645098039216,62121193.98286764,27.228880903062443,inf
2020-01,13.874265570267397,233.98870554642482,84.17707706678823,52.38360317562857,37.955802373793226,60.85336588366391,-0.13451595363101324,0.3158685979879376,0.06294113484841549,-0.058007283989703735,-0.02985806507980551,0.12077040071757236,0.18181818181818182,0.2782931354359926,0.23562152133580705,inf,0.4316952138198804,30.497843228200374,67881724.00260204,25.928948348195572,inf
2021-01,30.04911652542305,367.5989078625712,123.4480020154706,56.11276539751885,51.831940359143566,59.76479553163766,-0.10727159691760246,0.3264375011056998,0.06223697790512348,-0.05085633245298857,-0.036447808455582376,0.11227059128711282,0.13705583756345177,0.17428087986463622,0.21658206429780033,inf,0.7742229416885462,28.89263113367174,70347738.44332488,27.74848352660848,inf
