,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,영업현금흐름/총자본,총자본,최대주주비율,차입금의존도,매출총이익/총자본,매출채권/총자본,BW금액/총자본,조회공시요구카운트,결산기간_주가변동률,유상증자금액/총자본,최대주주비율_변동성,결산기간_거래량증가,최대주주변경카운트,타법인주식및출자증권취득결정금액/총자본,불성실공시법인지정카운트,CB금액/총자본,최대주주변경을수반하는주식양수도금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본
2012-01,0.21201158375684687,0.19015578424056595,0.10618408633904766,0.07181772757706562,0.11748301432293569,0.08055713095407699,0.05239947126661612,0.0772318048436425,0.028734192800764353,0.01336056951034098,0.005659335117349578,0.012741782197412581,0.0031187495002476685,0.0198340949280025,0.0011479326463116099,0.002124723339218878,0.0002148456845534226,0.0030612757910036077,0.0015458751227340867,0.0006160200612634306,0.0
2013-01,0.22576920583167803,0.20190330026821554,0.11307790578224577,0.08134318755887718,0.0770429984966554,0.07508159728380391,0.07144365136138085,0.07095120055560357,0.04593141594625545,0.01003179759037466,0.0068781124955433195,0.004934832117920048,0.0035874207169210386,0.0029084783315199425,0.002753268749455065,0.0021084703347392384,0.0018802658867128794,0.001357996826819178,0.000604525327737404,0.0004103685375416007,0.0
2014-01,0.2142455689290224,0.19949033255782045,0.11113264038194556,0.07433982423383878,0.07995878784624555,0.0720149320676372,0.08815437432266765,0.07361726464837737,0.05483901058306263,0.0002058975366359797,0.006606235697495046,0.004654932644548384,0.004072882761756554,0.0019266632481836818,0.00019263049647116385,0.001243076282102929,0.0015843413443334823,0.0011459899013269903,0.010382184216057293,0.00019243030047092537,0.0
2015-01,0.19697352776322563,0.21017180744061992,0.08993695232817064,0.07735712907729762,0.11269946517044371,0.07562901255518735,0.05537421621502556,0.07453155515538856,0.02848116638083829,6.989303689113745e-05,0.01715724586544009,0.012245768478663599,0.0016454391118718053,0.012007369993877767,0.0008492206447293248,0.005462652099113927,0.0015161943464698626,0.0016959210362608769,0.024073909162124093,0.0020475647942589338,7.398934410133644e-05
2016-01,0.17854816298726886,0.1672462257266287,0.07936050598882528,0.09648812026100022,0.12885756995396716,0.08705538921213407,0.04872474250270411,0.06689181592370427,0.03064609279271759,0.00023104644202229572,0.009801366709317005,0.018680523204790873,0.0014985408367906492,0.02190896647213016,0.002931830305454306,0.008091334927328305,0.0038924850248354933,0.0020995993792132673,0.044069029470209166,0.0020559723947395476,0.0009206794842187344
2017-01,0.2015826069974297,0.1793297561604183,0.09158177250170665,0.08146655990251475,0.12756446842293517,0.10304556264267188,0.03446284732845688,0.06448243128508334,0.022123852994044606,0.00017164678411627328,0.010622305626205102,0.02550411313491743,0.0008836057123867431,0.012764351818116424,0.0010275151192612308,0.005683803100174662,0.002431943988738862,0.002454733952648029,0.02991906680723903,0.0010867766867589566,0.0018102790341761015
2018-01,0.17641825628330712,0.17084365644873342,0.08898905708998173,0.08493828340060337,0.12208209726159232,0.09433165595217352,0.051930814202111784,0.06533006541274385,0.027276657760837892,0.0003833623450168416,0.0028820393461179987,0.020530843836634977,0.0003324906884163669,0.023242989296635905,0.00738220552338234,0.008493782478804944,0.0035533288843527114,0.0033174032639435294,0.043893910760846984,0.0019800382018674615,0.001867061561895229
2019-01,0.19102108061507206,0.19157382322786076,0.10885491192051569,0.09666849730505635,0.12475877999967847,0.08173006121510608,0.049250801860370105,0.06051314170582775,0.020837663105578823,0.00029087990879291247,0.0025579644558767468,0.015841169040330335,0.0017437415476269026,0.0030143171613498526,0.007270721301839869,0.005510478425670903,0.0023035035305098432,0.0032176806448522386,0.030567109736971257,0.0011037821980325938,0.001369891093080283
2020-01,0.19609665237071627,0.1873430949020489,0.09472994836454449,0.09998147680219943,0.11273379135961192,0.10300488095938196,0.04408702494956944,0.06795546960603556,0.019004747698398463,0.00014361895971879245,0.0031927437182276176,0.016351877508345485,0.0026234256947249538,0.012552193305010591,0.00040034197611732816,0.005271780673482235,0.0026624619567510313,0.00413066345916746,0.02622675169733732,0.000551098754766722,0.0009559552838439215
2021-01,0.19334370974552403,0.18087397137997438,0.1051596761530667,0.09305083131088503,0.1187603240899523,0.07682505609498544,0.05568464994824311,0.06488235990837433,0.023633523901524314,0.00046324727953598905,0.0013268896570141156,0.01685886286537182,0.005738499547412938,0.01005130402829943,0.00010439866993081156,0.0030160393299343167,0.0017519278942856478,0.0022338085322431774,0.04542384951849865,0.00020128169388490698,0.000615788451058433
