,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.0430622009569378,0.03827751196172249,0.019138755980861243,0.03827751196172249,0.028708133971291867,0.07177033492822966,0.03349282296650718,0.09569377990430622,0.009569377990430622,0.004784688995215311
1,0.009569377990430622,0.019138755980861243,0.03349282296650718,0.028708133971291867,0.019138755980861243,0.03827751196172249,0.019138755980861243,0.019138755980861243,0.10047846889952153,0.019138755980861243
2,0.019138755980861243,0.004784688995215311,0.004784688995215311,0.019138755980861243,0.03827751196172249,0.014354066985645933,0.0861244019138756,0.009569377990430622,0.03349282296650718,0.05263157894736842
포착군집,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0
