,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,419.0,483.0,422.0,444.0,661.0,455.0,492.0,516.0,719.0,907.0,651.0
1,619.0,596.0,549.0,625.0,592.0,716.0,802.0,694.0,645.0,485.0,512.0
2,556.0,526.0,649.0,590.0,478.0,616.0,571.0,709.0,613.0,634.0,893.0
기업수,1594.0,1605.0,1620.0,1659.0,1731.0,1787.0,1865.0,1919.0,1977.0,2026.0,2056.0
