,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.24528301886792453,0.7428571428571429,0.023255813953488372,0.07142857142857142,0.7441860465116279,0.38461538461538464,0.09302325581395349,0.022471910112359553,0.09090909090909091,0.13846153846153847
1,0.660377358490566,0.02857142857142857,0.11627906976744186,0.07142857142857142,0.16279069767441862,0.07692307692307693,0.11627906976744186,0.43820224719101125,0.17045454545454544,0.7384615384615385
2,0.09433962264150944,0.22857142857142856,0.8604651162790697,0.8571428571428571,0.09302325581395349,0.5384615384615384,0.7906976744186046,0.5393258426966292,0.7386363636363638,0.12307692307692308
포착군집,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0
