,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,489.0,637.0,485.0,540.0,626.0,491.0,706.0,721.0,750.0,740.0,779.0
1,629.0,482.0,465.0,535.0,537.0,644.0,685.0,536.0,737.0,598.0,691.0
2,488.0,497.0,681.0,596.0,580.0,665.0,487.0,676.0,506.0,700.0,598.0
기업수,1606.0,1616.0,1631.0,1671.0,1743.0,1800.0,1878.0,1933.0,1993.0,2038.0,2068.0
