,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01
0,0.0,0.012658227848101266,0.04113924050632911,0.015822784810126583,0.0,0.0,0.0,0.006329113924050633,0.0189873417721519,0.0031645569620253164,0.0031645569620253164,0.0031645569620253164,0.04430379746835443,0.0759493670886076,0.08227848101265822,0.006329113924050633,0.056962025316455694,0.0,0.06962025316455696,0.0759493670886076,0.00949367088607595,0.12974683544303797,0.10126582278481013,0.04113924050632911,0.10126582278481013,0.006329113924050633,0.015822784810126583,0.006329113924050633,0.10759493670886076,0.060126582278481014,0.0189873417721519,0.0031645569620253164,0.12025316455696203,0.10759493670886076,0.09177215189873418,0.006329113924050633,0.006329113924050633
1,0.04430379746835443,0.05379746835443038,0.006329113924050633,0.02531645569620253,0.04113924050632911,0.006329113924050633,0.056962025316455694,0.0031645569620253164,0.006329113924050633,0.05379746835443038,0.04746835443037975,0.04746835443037975,0.0031645569620253164,0.012658227848101266,0.006329113924050633,0.07911392405063292,0.006329113924050633,0.08860759493670886,0.028481012658227847,0.0,0.08860759493670886,0.04113924050632911,0.028481012658227847,0.08860759493670886,0.00949367088607595,0.1930379746835443,0.0031645569620253164,0.012658227848101266,0.06645569620253164,0.1550632911392405,0.12025316455696203,0.11075949367088607,0.006329113924050633,0.0031645569620253164,0.0189873417721519,0.0949367088607595,0.11392405063291139
2,0.012658227848101266,0.0,0.0,0.006329113924050633,0.006329113924050633,0.05063291139240506,0.012658227848101266,0.056962025316455694,0.04430379746835443,0.028481012658227847,0.0031645569620253164,0.0031645569620253164,0.0031645569620253164,0.0,0.0,0.0031645569620253164,0.02531645569620253,0.03164556962025317,0.0,0.022151898734177215,0.0,0.0031645569620253164,0.00949367088607595,0.00949367088607595,0.028481012658227847,0.015822784810126583,0.1550632911392405,0.15822784810126583,0.006329113924050633,0.006329113924050633,0.0031645569620253164,0.022151898734177215,0.006329113924050633,0.015822784810126583,0.0031645569620253164,0.0189873417721519,0.028481012658227847
포착군집,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
