,0
매출채권,0.21203947440851223
판매 및 관리비,0.18948478190211135
영업현금흐름,0.12262141693953002
결산기간_거래량증가,0.10733857447188033
최대주주비율,0.09756986380982391
결산기간_주가변동률,0.09192547069132251
차입금의존도,0.08725794666615587
최대주주비율_변동성,0.04628750358295238
CB금액,0.022209940005983052
조회공시요구카운트,0.006340091594927862
최대주주변경카운트,0.005143232591719468
타법인주식및출자증권취득결정금액,0.0024146579082931045
불성실공시법인지정카운트,0.0019480506637578451
BW금액,0.001920827449510238
유상증자금액,0.0017680672316725287
최대주주변경을수반하는주식양수도금액,0.0013573128958444967
상호변경카운트,0.0008562654815923189
최대주주변경을수반하는주식담보제공금액,0.0006396716284571765
경영권분쟁소송,0.0004763091778022548
업종변경카운트,0.0002874315981706769
특수관계인에대한자금대여금액,0.00011310929998039337
