,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,매출채권,영업현금흐름,차입금의존도,최대주주비율,판매 및 관리비,최대주주비율_변동성
2015-01,250206611.57024795,2911179243.446281,0.05991735537190083,0.09504132231404959,0.08884297520661157,0.05165289256198347,1370237736.1880164,0.4731404958677686,211836766.52892563,1576368785.289256,0.22933884297520662,3482617826.2231407,0.0,inf,0.63289711953568,14753731.002432851,-503733.30947314063,27.000841942148764,32.35824416738869,3465244.642961432,inf
2015-04,128507462.68656716,2513204991.7686567,0.06567164179104477,0.07761194029850746,0.09253731343283582,0.049253731343283584,503613979.2656717,0.4,556998994.7402985,2509103871.3940296,0.2417910447761194,1489128952.9298508,0.0,inf,0.4479554974441636,11209417.001869403,635996.9200659203,18.642135572139303,34.31027323518767,2650957.52804602,inf
2015-07,246608504.8010974,2634117906.245542,0.04252400548696845,0.07818930041152264,0.08916323731138547,0.03155006858710562,391542663.14266115,0.35253772290809327,841425210.4979423,2353419552.6995883,0.23182441700960219,1710379105.2757201,0.0,inf,0.3178877608730595,11761356.05284408,790287.8157864654,19.775523548239597,35.03628168001139,2635780.4314083224,inf
2015-10,251272916.66666666,2988793858.4804688,0.059895833333333336,0.07682291666666667,0.09244791666666667,0.024739583333333332,369701483.48828125,0.3619791666666667,1210250033.6380208,1955892505.671875,0.24088541666666666,1722322855.436198,0.0,inf,0.3403715092217971,11744159.967897138,634150.7709440105,18.668212890625,35.41351454419074,2792843.085097656,0.005852909734774763
2016-01,353992395.43726236,4565303851.085551,0.18631178707224336,0.10456273764258556,0.09315589353612168,0.02091254752851711,632291784.0456274,0.5,950489207.3612168,1716311456.0589354,0.2908745247148289,1955832557.7338402,0.0,inf,0.6631247695352174,13135255.770560838,329977.0695912548,22.77819391634981,34.112993375228605,2732831.8399176174,inf
2016-04,377173913.04347825,3774650058.003623,0.16666666666666666,0.10869565217391304,0.08876811594202899,0.030797101449275364,421515797.85144925,0.45108695652173914,1223696156.7065217,1808610583.713768,0.26268115942028986,1578344238.0217392,0.0,inf,0.6447400860482989,14418609.561431158,340341.2787092391,21.095217391304345,35.138927150890275,3010162.9572388288,inf
2016-07,359079646.0176991,4741474923.925664,0.1752212389380531,0.11150442477876106,0.0920353982300885,0.07610619469026549,750133594.5168141,0.4265486725663717,1431982115.0849557,2109427565.6070797,0.2867256637168142,4716842760.095575,274.3362831858407,inf,0.6492818857653453,14763894.41538938,-124173.65286430671,22.572738938053096,31.970125237767007,3303808.4289882006,inf
2016-10,419583333.3333333,4948392757.38368,0.17881944444444445,0.10416666666666667,0.06770833333333333,0.06597222222222222,673528868.4392362,0.3663194444444444,1384052343.1822917,2042431894.0260417,0.2621527777777778,5180826201.675347,269.09722222222223,inf,0.740191874006186,15835434.768767364,-3859368.0597106484,24.460607638888888,30.200744318508743,5920907.813786169,inf
2017-01,877690721.6494845,6905893436.063917,0.19175257731958764,0.12783505154639174,0.08247422680412371,0.07628865979381444,1200421020.927835,0.3731958762886598,2512534216.1175256,2301500678.1917524,0.3134020618556701,3679527569.185567,319.58762886597935,inf,0.8362718162325847,19693097.287044674,-5811866.739932991,29.85836082474227,21.92950907569323,9525074.33617354,inf
2017-04,363119496.8553459,4530582223.007547,0.13962264150943396,0.0779874213836478,0.07169811320754717,0.07044025157232704,767542183.1773585,0.24528301886792453,1623376413.690566,2110203585.8616352,0.22264150943396227,2187556656.3031445,12.578616352201259,inf,0.3454099670422462,11550683.971544024,461781.2291886793,17.45696645702306,33.361229044700096,3144619.373132075,inf
2017-07,558507371.007371,5429409763.256757,0.14742014742014742,0.09336609336609336,0.07862407862407862,0.04791154791154791,667699893.3058968,0.2371007371007371,1722475413.4103193,2357705780.7211304,0.2199017199017199,2602904425.610565,12.285012285012286,inf,0.3735392438354677,11616288.506022727,-2810646.7737162174,17.223552416052417,32.851001058369924,6565563.889018223,0.009011403729360252
