,매출총이익/총자본,영업이익/총자본,당기순이익/총자본,판매 및 관리비/총자본,영업현금흐름/총자본,매출채권/총자본,차입금의존도,총자본,최대주주비율,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액/총자본
2012-01,0.0755555973906823,0.18591191463745302,0.21869711961448943,0.13575677657246948,0.06471229734041427,0.043900105910537945,0.060108635432204946,0.10367488379298986,0.07376200630036227,0.03792066300839647
2013-01,0.30022025517260365,0.2010771759352804,0.1567658347913904,0.12003924180348788,0.08281689992106207,0.07605920751532926,0.032293541012204434,0.01654564752137662,0.008044200908801084,0.006137995418464197
2014-01,0.08052530361067156,0.20819482348982424,0.2305978998643589,0.09995827612463452,0.07645594882161094,0.045933245613598864,0.08083935832986494,0.07472703486087925,0.07447632362385326,0.0282917856607035
2015-01,0.0780756632997673,0.21647753454620808,0.2143736089764062,0.08977308781146263,0.08385671343940752,0.03258333864303384,0.06477416696868234,0.09742802961562178,0.08003385231372205,0.04262400438568838
2016-01,0.0663265908143438,0.17874165761333874,0.19625768901610519,0.09650819039371235,0.09454994726970281,0.03597600177409459,0.05924726629545092,0.11560945024678565,0.09570814923788994,0.06107505733857582
2017-01,0.06395874112307035,0.18845885126865253,0.21375526880848267,0.10501271714374164,0.087264270326352,0.026523335983087072,0.04503399892147736,0.12128947623992398,0.10098987434446083,0.04771346584075163
2018-01,0.07084803802388048,0.18865673744869493,0.19228060230130564,0.09516606901564259,0.09166518389867949,0.024725056469921434,0.05597532511000841,0.12177592769766515,0.10076642397403276,0.05814063606016914
2019-01,0.06292998059758903,0.20135591049223395,0.19631515038581676,0.11444711290218873,0.09771856861133044,0.022631554466483045,0.05255002112193915,0.12165451362544089,0.08516409463362687,0.04523309316335117
2020-01,0.06946424643816788,0.19267402311866272,0.20820904023684883,0.09967789300495485,0.1039117649399456,0.02039699465547566,0.047101878651109645,0.11317550751765156,0.10077704575330794,0.044611605683875385
2021-01,0.06645936430223805,0.19234717114454425,0.20242398546336193,0.1082600898557596,0.09275856105289665,0.022632934709055943,0.06398283015163567,0.11587082104152115,0.06916825965624797,0.0660959826227389
