,당기순이익,차입금의존도,영업현금흐름,최대주주비율,판매 및 관리비,결산기간_주가변동률,BW금액+CB금액+유상증자금액,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액,최대주주변경카운트,상호변경카운트+업종변경카운트,최대주주비율_변동성,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액
2012-01,0.13920562654341034,0.007411022893580609,0.12311265732959673,0.11278837576573271,0.16044420473390347,0.07384994721869492,0.028563148828553972,0.01339660581641221,0.2239450188888387,0.0014597174482717983,0.0022062334016281875,0.0014721065025253297,0.11069776142684139,0.0014475732020096193
2013-01,0.26148262239830705,0.22202940459399934,0.15981838780646326,0.13782771078943212,0.09332025874637838,0.047886349029296525,0.04104828239731975,0.01633046154678511,0.009765623284485181,0.00429023019681145,0.0025514212388083957,0.002521265197732696,0.0007104495647587533,0.00041753320942221616
2014-01,0.24928762442089095,0.2755607923681555,0.14494634550674965,0.12083010915222696,0.09316300895952498,0.04179887748145029,0.03879397064479908,0.021520363723760056,0.001085259209144577,0.0024776893604494515,0.0027482993919046967,0.0005535081863007992,0.006994138158413481,0.00024001343622960652
2015-01,0.22204606326362036,0.22092207683532958,0.13186920781629585,0.13943198516195587,0.097161334555879,0.04015477388377348,0.05064894761049466,0.05562211220818317,0.0007334806851482726,0.0033859418215406376,0.006479398952003101,0.0033195306282915544,0.025881502411037975,0.002343644166446519
2016-01,0.15718687057863273,0.08910494890193582,0.2076247106811575,0.08485354240504045,0.23245481752617578,0.13259217887687114,0.0185543911800017,0.01447335197282798,0.010207760734171008,0.0012815027814086475,0.005614952854583791,0.0012684146095795663,0.0404657808848875,0.004316776012726367
2017-01,0.19832136497378103,0.12386965096749215,0.13457397784011452,0.26484128289614667,0.09782333384656683,0.03938857525044662,0.07326033969813954,0.022178006737317204,0.00028001075101948686,0.005630666893737026,0.011040637479135033,0.00015480466905028339,0.023004665435573588,0.005632682561480167
2018-01,0.13263218388823517,0.05766333995715352,0.12556588908954863,0.1563830150418946,0.25755089619827604,0.1861013899078512,0.021187743032256904,0.0069997458770974155,0.007821791281980833,0.000185229960895782,0.0064651907018320265,0.000624151155506954,0.034708437136645724,0.0061109967708253094
2019-01,0.14030109134651542,0.045435423213830456,0.14948674604043713,0.13752464800022773,0.24198191475315758,0.19415376061150103,0.02205984318803039,0.007585046394121992,0.035168566707867284,9.270182483991511e-05,0.006898899689606603,0.0004520730978668083,0.014070639792645421,0.00478864533935243
2020-01,0.18220471617077047,0.16752769255899283,0.1427856042857606,0.20480800146418335,0.0993083968329555,0.040607613443751356,0.08147682601790499,0.01933266321622879,0.008982713820321802,0.005125919501053243,0.009271731282733448,0.0026407566818054374,0.03229665755190166,0.0036307071716367404
2021-01,0.22857287422446287,0.16833052439726306,0.14316753233087995,0.17245802946240105,0.09500960780451498,0.03847877316833175,0.11572688270726622,0.008945092904862001,0.00015471670010871617,0.006761718288944632,0.005049610704017951,0.001283116742886768,0.014481769803463697,0.0015797507605962364
