,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,490.0,555.0,552.0,553.0,797.0,664.0,403.0,413.0,619.0,665.0,673.0
1,522.0,529.0,543.0,578.0,378.0,513.0,682.0,691.0,702.0,684.0,642.0
2,601.0,538.0,542.0,546.0,574.0,632.0,802.0,840.0,684.0,701.0,767.0
기업수,1613.0,1622.0,1637.0,1677.0,1749.0,1809.0,1887.0,1944.0,2005.0,2050.0,2082.0
