,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.0031645569620253164,0.022151898734177215,0.022151898734177215,0.0031645569620253164,0.0189873417721519,0.00949367088607595,0.08544303797468354,0.12974683544303797,0.0189873417721519,0.03164556962025317
1,0.0379746835443038,0.012658227848101266,0.0031645569620253164,0.03164556962025317,0.012658227848101266,0.028481012658227847,0.0189873417721519,0.015822784810126583,0.06962025316455696,0.060126582278481014
2,0.015822784810126583,0.006329113924050633,0.03481012658227848,0.012658227848101266,0.05063291139240506,0.056962025316455694,0.012658227848101266,0.0189873417721519,0.03164556962025317,0.028481012658227847
포착군집,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0
