,0
경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,1.1604172680964315
상호변경카운트+업종변경카운트,0.2073373946782528
타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액,5572343053.859941
최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액,4963411883.876251
BW금액+CB금액+유상증자금액,21205328983.703205
최대주주변경카운트,0.48418125488689984
결산기간_거래량증가,inf
결산기간_주가변동률,1.598122660690166
당기순이익,-9829439.669225007
매출채권,27942471.399817847
매출총이익,-106194.7686952542
영업이익,-4457149.91187777
영업현금흐름,-2001165.5868186527
차입금의존도,36.67766095128019
총자본,49305362.97057436
최대주주비율,22.15946638912775
판매 및 관리비,4350248.679614535
최대주주비율_변동성,inf
