,차입금의존도,매출채권,최대주주비율_변동성,판매 및 관리비,결산기간_주가변동률,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,당기순이익,결산기간_거래량증가,총자본,BW금액+CB금액+유상증자금액,영업이익,최대주주비율,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액,매출총이익,최대주주변경카운트,영업현금흐름,상호변경카운트+업종변경카운트,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액
2012-01,0.20472235034521677,0.015005576456397713,0.13719386385077306,0.03320498959208896,0.0161512999026968,0.01560740524943093,0.02631972272566138,0.2536735741292248,0.0066126779710542006,0.1413445966951581,0.006306643835162071,0.11628014238182603,0.0054585709363906216,0.004556949504399704,0.005423178919874879,0.007160894223191125,0.003261397488938433,0.0017161657925145377
2013-01,0.19911986014379457,0.14531167209200982,0.1425689805531087,0.13022607541097875,0.07815865997669777,0.052845991324842634,0.052642210374360385,0.05251573851613104,0.03484908677860454,0.03130758780800748,0.02701778161694686,0.022947683828794092,0.009682547727775936,0.008960889359420179,0.0057629239070058885,0.005681287065885865,0.0003555327222869605,4.549079334856585e-05
2014-01,0.2322408416507747,0.021221492869484125,0.0136447955910422,0.028778264430853365,0.04507462309697495,0.04823403611240598,0.057081542243424474,0.23232263549858218,0.0001610700897899408,0.137351804862273,0.027627847729809512,0.11847688707696788,0.012831010132045798,0.001514995402437302,0.007808137017873364,0.012035356033207153,0.0033792715841177586,0.00021538857793626916
2015-01,0.13690890507310696,0.014209957793911494,0.0024558030426207935,0.005377254546239096,0.005206626377226089,0.20266699812157213,0.03232654153857273,0.04917596006003581,0.01326877673633942,0.21728797866821128,0.019108245702063084,0.09384696949913252,0.028837939481263765,0.012255486885704913,0.09417612004985534,0.02107046022563085,0.01801806105117725,0.03380191514733652
2016-01,0.049371604804169356,0.003545292033312602,0.21555299889838983,0.008635275738505525,0.004872616120931154,0.12114015932047077,0.015743544062294765,0.00025742002851959496,0.001575620973776625,0.2082698232790584,0.010548556066603645,0.09895516465024623,0.06479349619519366,0.0004137540204224375,0.11858275395880966,0.004471339621903055,0.017027551960109945,0.05624302826728275
2017-01,0.16057827338759606,0.0184582543083324,0.03822344585276358,0.026783575783362875,0.00822143376756163,0.0550265956157909,0.03277813985524846,0.16117607502557252,0.0008477226249557541,0.22557167332091266,0.00921848299376965,0.10208938615416575,0.051665615691713344,0.0018712513614203687,0.06261630074014052,0.008154843167285099,0.016792291094354442,0.01992663925505395
2018-01,0.09435163350363449,0.02846318417671731,0.18089899907268606,0.029209114491592574,0.013664969197178242,0.0658433261956772,0.017897248677929255,0.018883878540484608,0.017782591354135343,0.3137271327106519,0.008411822172117155,0.04556981270083082,0.057740351825013025,0.0014957608691602172,0.07066561852328189,0.0079959990593959,0.0033763179810631355,0.024022238948451062
2019-01,0.1487793142918686,0.008717968366213854,0.1622614973570149,0.01275758766764622,0.008676656498851939,0.13838036908702797,0.0341326280048546,0.0009187362403386965,0.00019076981893049116,0.18632074829637327,0.013816091361374636,0.0729565941855722,0.05321929061716063,0.0008221924827643721,0.11126275835499089,0.008641447531074058,0.012149235665478571,0.02599611417246418
2020-01,0.2258689423973313,0.010384549832198133,0.04528382937726329,0.04811009289086744,0.010262471585519486,0.011064615941097132,0.08019880797099282,0.20655095827705122,0.0012094066976158192,0.1628129506842428,0.039500924212274774,0.09171786998544806,0.02666039175665484,0.0006774199968833256,0.015287160617577013,0.00808026329014748,0.009841674949557577,0.006487669537277489
2021-01,0.03365622086924369,0.008069882033047605,0.6811666866905497,0.015678885664831284,0.0011453381191187258,0.000706537936879245,0.005682321764956056,0.18266331188463303,0.0034489801407150914,0.04711828463123293,0.0020037219705647817,0.0017673308840010498,0.009334135070576946,0.002280593920125118,0.002033268716478218,0.0021636759767191564,0.0002599168321622738,0.0008209068941650864
