,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.09302325581395349,0.65625,0.2571428571428571,0.07894736842105263,0.23076923076923078,0.11627906976744186,0.6111111111111112,0.5714285714285714,0.2337662337662338,0.29824561403508776
1,0.627906976744186,0.21875,0.0,0.6842105263157895,0.07692307692307693,0.23255813953488372,0.2638888888888889,0.13095238095238096,0.5714285714285715,0.4385964912280702
2,0.27906976744186046,0.125,0.7428571428571429,0.23684210526315788,0.6923076923076923,0.6511627906976745,0.125,0.2976190476190476,0.19480519480519481,0.26315789473684215
포착군집,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0
