,기업공시코드,시장
295,A065950,코스닥
296,A085910,코스닥
297,A035600,코스닥
298,A161890,코스피
299,A095340,코스닥
300,A088910,코스닥
301,A015260,코스피
302,A106240,코스닥
303,A038070,코스닥
304,A092460,코스닥
305,A115310,코스닥
306,A120110,코스피
307,A019490,코스피
308,A013720,코스닥
309,A058220,코스닥
310,A083790,코스닥
311,A060540,코스닥
312,A065440,코스닥
313,A036620,코스닥
314,A057680,코스닥
315,A066590,코스닥
316,A101970,코스닥
317,A091970,코스닥
318,A035620,코스닥
319,A123260,코스닥
320,A043580,코스닥
321,A065560,코스닥
322,A121850,코스닥
323,A086200,코스닥
324,A024810,코스닥
325,A074430,코스닥
326,A016600,코스닥
327,A001620,코스피
328,A044960,코스닥
329,A120240,코스닥
330,A094190,코스닥
331,A016590,코스피
332,A014160,코스피
333,A014790,코스피
334,A043910,코스닥
335,A032080,코스닥
336,A067170,코스닥
337,A043100,코스닥
338,A900050,코스피
339,A004980,코스피
340,A032980,코스닥
341,A057500,코스닥
342,A053590,코스닥
343,A110500,코스닥
344,A074150,코스닥
345,A068760,코스닥
346,A039850,코스닥
347,A035290,코스닥
348,A074130,코스닥
349,A017810,코스피
350,A011200,코스피
351,A016100,코스닥
352,A121800,코스닥
353,A054340,코스닥
354,A137940,코스닥
355,A150900,코스닥
356,A123040,코스닥
357,A114810,코스닥
358,A149940,코스닥
359,A109740,코스닥
360,A106080,코스닥
361,A131400,코스닥
362,A007720,코스닥
363,A011160,코스피
364,A214310,코스닥
365,A136540,코스닥
366,A117670,코스닥
367,A047920,코스닥
368,A131760,코스닥
369,A140410,코스닥
370,A143540,코스닥
371,A030270,코스닥
372,A196490,코스닥
373,A194510,코스닥
374,A134580,코스닥
375,A159910,코스닥
376,A033640,코스닥
377,A005030,코스피
378,A000640,코스피
379,A223310,코스닥
380,A034020,코스피
381,A033790,코스닥
382,A141070,코스닥
383,A069540,코스닥
384,A087260,코스닥
385,A137400,코스닥
386,A042670,코스피
387,A192410,코스닥
388,A003060,코스피
389,A000040,코스피
390,A027580,코스닥
391,A215480,코스닥
392,A180400,코스닥
393,A142280,코스닥
394,A082800,코스닥
395,A150840,코스닥
396,A206650,코스닥
397,A222810,코스닥
398,A142760,코스닥
399,A127160,코스닥
400,A131390,코스닥
401,A115440,코스닥
402,A083500,코스닥
403,A096350,코스닥
404,A027390,코스피
405,A183300,코스닥
406,A066110,코스닥
407,A119830,코스닥
408,A030790,코스피
409,A214330,코스피
410,A054630,코스닥
411,A177830,코스닥
412,A220260,코스닥
413,A215380,코스닥
414,A221610,코스닥
415,A219550,코스닥
416,A001210,코스피
417,A238090,코스닥
418,A263700,코스닥
419,A083640,코스닥
420,A026150,코스닥
421,A056730,코스닥
422,A109610,코스닥
423,A227950,코스닥
424,A011930,코스피
425,A018000,코스닥
426,A092200,코스피
427,A001140,코스피
428,A036180,코스닥
429,A263540,코스닥
430,A138580,코스닥
431,A028100,코스피
432,A039560,코스닥
433,A049630,코스닥
434,A019570,코스닥
435,A204990,코스닥
436,A064510,코스닥
437,A020120,코스피
438,A123860,코스닥
439,A076610,코스닥
440,A131970,코스닥
441,A054780,코스닥
442,A214420,코스피
443,A005320,코스피
444,A171010,코스닥
445,A257370,코스닥
446,A127710,코스닥
447,A148150,코스닥
448,A290650,코스닥
449,A105550,코스닥
