,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,영업현금흐름/총자본,총자본,차입금의존도,매출총이익/총자본,최대주주비율,매출채권/총자본,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액/총자본,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,결산기간_주가변동률,결산기간_거래량증가,최대주주비율_변동성
2012-01,0.212351145449411,0.18337045835240662,0.10553361071043178,0.06664228420414267,0.1161918297722156,0.04937254713761069,0.07374988152343473,0.0800937882036511,0.029015284211974895,0.03304959730415628,0.022297162472449047,0.010747622846423667,0.0009519294371143196,0.016632858374577706
2013-01,0.22182313652476143,0.19461459037609927,0.10872522240975105,0.08092860960693236,0.0745830593220172,0.07190099100111527,0.06957755087267459,0.0684507917966084,0.04968949001067088,0.0311961484158724,0.01881849882764508,0.004648961470763756,0.0027873225773811564,0.002255626787707194
2014-01,0.16270572888490534,0.21502569384432724,0.104465119275665,0.08906425541508232,0.02638790917367927,0.027512123496219048,0.2896426543465439,0.01902577102115094,0.049624347339629095,0.0054855604627016,0.005447388826958047,0.0024592396165286014,0.001406492324873981,0.0017477159717357226
2015-01,0.19167538477441076,0.20726633928673757,0.0818092358550186,0.07567427687517977,0.11268072180660699,0.05325262140064502,0.07825122982264442,0.07037456187320447,0.02587342229201329,0.039582157294111915,0.0375204193807425,0.014046498943653708,0.0010999548064108428,0.010893175588619977
2016-01,0.17560367688759215,0.16209651831987396,0.08365970034838875,0.08664391501175994,0.12291570556621786,0.05291994245863148,0.0627874755886842,0.08314133753690016,0.033982446817542616,0.06703607061908973,0.028189800852520954,0.014251542057210834,0.0026213098773944293,0.024150558058193106
2017-01,0.19688412823461088,0.1731464272456324,0.09353046929151418,0.0804769617232304,0.1251653753071603,0.034670163349315296,0.06097856088264,0.10167845916222307,0.022115069553534563,0.048638285037158766,0.02470455056328854,0.024088163583827163,0.0011341357801724346,0.012789250285692128
2018-01,0.12401676812313463,0.16732679732067857,0.09247425328585261,0.08654535551869193,0.055921506788065636,0.03123770738145542,0.2512502101605769,0.02998259638515535,0.10251708752003488,0.016785323341831457,0.012114824885661311,0.01111715850576484,0.008273870762991993,0.010436540020104473
2019-01,0.18886386223597043,0.1919597030044737,0.10126160281372609,0.09673113779509408,0.11898918655581459,0.04807689943337718,0.06185937666852417,0.08296305280681474,0.019956799992761686,0.045957219956547994,0.017654210495786762,0.015861739522915055,0.005828530933284747,0.0040366777849087975
2020-01,0.1895569310378959,0.1843936409747699,0.08938585953565563,0.09889797831882026,0.11218651563207446,0.04170889767672774,0.06788906950551228,0.101552513658628,0.01833883840049563,0.04442828040551267,0.02281171153043939,0.01576125082722951,0.000102510787046552,0.012986001709191921
2021-01,0.2072193404578195,0.20958383016808954,0.0062126915372397755,0.11182727441104583,0.1367244955560902,0.03570684054783174,0.06034849217591567,0.07437400521660226,0.007299620439334523,0.056074042435847946,0.015519886724491748,0.07246985202964656,0.0007966074885615259,0.005843020811483248
