,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,417.0,485.0,567.0,593.0,470.0,617.0,815.0,686.0,756.0,697.0,598.0
1,560.0,596.0,430.0,612.0,670.0,711.0,498.0,519.0,678.0,641.0,678.0
2,617.0,524.0,623.0,454.0,591.0,459.0,552.0,714.0,543.0,688.0,780.0
기업수,1594.0,1605.0,1620.0,1659.0,1731.0,1787.0,1865.0,1919.0,1977.0,2026.0,2056.0
