,BW금액,CB금액,불성실공시법인지정카운트,상호변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2015-10,466748339.48339486,5108030744.119926,0.11070110701107011,0.10516605166051661,3777553663.798893,0.566420664206642,1981274960.0664206,0.3173431734317343,2149092008.891144,inf,0.9037181426454863,-1765559.9730119926,12699026.275059963,1468305.9111531365,-1044591.1602029519,-461566.7374554121,25.633708487084874,37579961.60484778,29.87316518309447,2517422.4704289674,inf
2016-01,463239928.6987522,6423470453.976827,0.11942959001782531,0.0962566844919786,3700142234.4777184,0.5686274509803921,1977089252.7201426,0.31194295900178254,2297170386.8199644,inf,0.840718064308129,-3276011.215362448,13330465.772214795,1122840.270519905,-1465462.0845721925,-429382.0466221033,25.08392602495544,39590827.0298574,29.48948672660608,2592674.477583185,inf
2016-04,491168275.86206895,8851147984.531034,0.13448275862068965,0.10862068965517241,7557942229.584483,0.5362068965517242,2268035082.639655,0.3,2592009346.1431036,inf,0.7750597864912138,-5946791.610913793,22987122.789456893,876822.7987255747,-2228526.716727012,-692466.9522586208,24.95137068965517,38582358.4480388,29.684235430873002,3109578.4086609194,inf
2016-07,628511383.5376532,11491820894.970228,0.13485113835376533,0.09982486865148861,8033424903.795096,0.4746059544658494,2124226995.877408,0.3257443082311734,2836681716.935201,inf,0.7458853021169272,-7304736.65265032,22942396.996129595,889376.5748642733,-2297485.2169819027,-116397.06730443668,25.109627845884415,37482721.589461476,28.582751171370443,3186621.1523234094,inf
2016-10,620427046.2633452,6822648107.745552,0.1298932384341637,0.08362989323843416,1375431007.0142348,0.3896797153024911,2061578470.866548,0.2918149466192171,2082707286.1992884,inf,0.8107261875446253,-7533108.079123664,14362668.895315835,1243159.93466637,-1552288.4807784697,-207402.50187425857,24.691419039145906,38194741.60301601,28.012882904486744,2795448.413684757,inf
2017-01,663293718.1663837,6129129569.594228,0.11375212224108659,0.07979626485568761,2425166722.105263,0.3378607809847199,1716626715.7436333,0.266553480475382,1844339910.935484,inf,0.7692249458131789,-7159233.634855688,14155679.939608091,1464231.377238257,-1335033.3898486136,3403.16985144303,23.80712648556876,38364187.386192694,28.687054721836876,2799264.7619397286,inf
2017-04,782735346.3587922,6795252410.818828,0.108348134991119,0.08880994671403197,2690548403.1438723,0.325044404973357,2188989943.115453,0.2966252220248668,2160029038.150977,inf,0.7353391453785642,-2540056.386586738,12661303.799480462,1789000.0104040853,-1017439.9326258142,-557466.1264653641,24.56700710479574,43674828.59974245,27.375686621511022,2806439.944070456,inf
2017-07,847482935.1535836,7727328203.568259,0.12798634812286688,0.10238907849829351,2471279806.979522,0.32593856655290104,2509949609.175768,0.2986348122866894,2717657072.957338,inf,0.7208071491011292,-2083805.2231356655,12954143.12519198,1855946.8614803755,-1014581.344618885,-551881.3837926622,24.45094709897611,45709649.26883105,27.504601602185012,2870256.4786006827,inf
2017-10,869156928.2136894,9146329536.070116,0.1302170283806344,0.08848080133555926,2408624705.3873124,0.28046744574290483,2456384139.026711,0.2888146911519199,3015956857.5592656,inf,0.7667546119566926,-2126442.756882304,13746421.85428631,1898548.8851794656,-1091701.6512896493,-664447.0609515861,24.780225375626042,47899614.684920706,27.349994244435162,2990250.5523038395,inf
2018-01,1841808149.4057724,10079112497.113752,0.14091680814940577,0.08488964346349745,1385323346.6095076,0.2546689303904924,2534378925.073005,0.2767402376910017,3562346107.398981,inf,0.870329098936609,-2250475.100993209,13208095.771120545,1662464.179760894,-1220227.0918081496,-895138.7568095642,25.15179117147708,48147555.84018251,26.83171999290266,2882691.2748401244,0.009680138759221793
2018-04,1816664345.1612904,9322821966.419355,0.1435483870967742,0.07419354838709677,1370064259.1935484,0.20483870967741935,2050802345.935484,0.2435483870967742,3155338426.5612903,inf,0.9340163903836601,-2413678.4260389786,13227118.521235215,1767714.6310416667,-1165994.339891129,-781081.0572190861,25.277013440860216,51040705.530493274,28.10911460067325,2933708.96547043,0.007696443864763725
2018-07,1571189321.1401274,9203433280.191082,0.15127388535031847,0.0732484076433121,1231342921.4745224,0.1751592356687898,1484738259.1066878,0.19745222929936307,2929105422.2292995,inf,0.794852520339784,-2554350.1875530784,13356219.242799895,1862271.7518949045,-1141686.8106820595,-772771.7658824311,26.21294718683652,50428344.238953024,28.089922541512344,3003958.5559819536,inf
2018-10,2105003500.3253236,10105906285.508318,0.19408502772643252,0.09057301293900184,1057377754.7652495,0.1756007393715342,1581278082.2347505,0.22920517560073936,3708193542.031423,inf,0.6082753144155774,-2973573.8254667283,11786910.481330868,1864847.2344408503,-1264302.4768900184,-805849.8227064079,28.41854436229205,47196587.70726433,25.807496579702068,3129304.878867837,inf
2019-01,840138407.7439446,8193766108.0622835,0.18339100346020762,0.09169550173010381,1018976248.7577854,0.1972318339100346,2114484766.0121107,0.2664359861591695,3625659319.4896193,inf,0.4869512326558987,-2535472.485350346,10565740.77125,1853000.957233276,-1096055.5859616494,-577854.5147592272,27.084653979238755,45503187.92762543,26.729588513082774,2949054.3421986736,inf
2019-04,771724137.9310344,7991804520.862069,0.1810344827586207,0.09137931034482759,783080476.5931034,0.23620689655172414,2300932944.039655,0.28448275862068967,3817762970.4189653,inf,0.38205682291193854,-2974839.710031609,12554403.43511638,2041888.0240114944,-1255894.6310675289,-469062.87831896555,28.14735344827586,48417880.45012069,26.49633694373422,3297779.730912356,inf
2019-07,1405527638.1909547,7909478007.537688,0.17755443886097153,0.10050251256281408,753671924.9849247,0.2629815745393635,1813893002.3534338,0.32160804020100503,4051432251.1842546,inf,0.39155233815322676,-4218691.70057789,14286250.563752092,1978752.0571859295,-1887607.3567308765,-539457.2375488554,29.58723199329983,54478178.8731072,26.521823015962624,3865673.084402568,inf
2019-10,1015306122.4489796,6522682937.317784,0.14868804664723032,0.08746355685131195,1213385786.7536442,0.30174927113702626,1640773509.0816326,0.2653061224489796,2962096574.303207,inf,0.3892235599504576,-4337250.393787658,13355495.689894315,1459312.648627308,-2177361.846286443,-840221.1949234696,27.446774781341112,60538111.88991253,28.738882819353524,3635799.14496963,inf
2020-01,985754985.7549858,7230015349.002849,0.150997150997151,0.07977207977207977,2468599458.769231,0.28347578347578345,1762829935.8817663,0.21082621082621084,3502551182.403134,inf,0.35508112038572354,-3837941.934226021,11708802.072050095,1490433.8963888888,-1980617.9071284428,-818151.2575735993,26.805137701804373,58098805.62950855,28.896767100335445,3470381.9866524218,inf
2020-04,1075718015.6657963,6052004994.516972,0.13446475195822455,0.07702349869451697,2764338772.8642297,0.2754569190600522,1521756211.1449087,0.20365535248041775,3603366895.6018276,inf,0.34876453020365233,-3312092.632181245,10904624.097628372,1588350.4731070495,-1949797.9409062227,-1045352.4371355529,25.74812771975631,66718690.019951046,29.827710484251227,3534233.2015567883,inf
2020-07,744911804.6132971,7868370306.377205,0.13704206241519673,0.09905020352781546,3388320795.018996,0.25508819538670285,1944358998.4369063,0.1926729986431479,3493565116.804613,inf,0.4331927799897756,-2873506.433189733,10351140.94644957,1520225.716333107,-1774941.9573824059,-1150756.9017729533,25.241181592039798,60391122.30431366,29.088293554094324,3291548.950673903,inf
2020-10,835771276.5957447,8912025652.659575,0.13031914893617022,0.09042553191489362,4071732162.49734,0.19281914893617022,1568442324.337766,0.1981382978723404,3680943432.7925534,inf,0.5240097917843355,-2586508.1492032357,10787615.277573138,1700123.9806449472,-1643999.516493794,-1016207.2794835992,24.941788563829785,61471348.17949467,29.232645506207696,3342901.090775709,inf
2021-01,1257555847.568988,10139912573.261497,0.11432325886990802,0.08147174770039421,4435422234.088042,0.15637319316688567,1409068508.7910645,0.20367936925098554,2934953987.123522,inf,0.6359876353338314,-2649055.9154840126,11277791.164030882,1873910.0391360049,-1657627.1367564609,-1161010.120585852,25.363318002628123,60943749.02576215,28.873508390814624,3530395.2352562416,inf
