,매출총이익,총자본,영업이익,당기순이익,매출채권,판매 및 관리비,영업현금흐름,최대주주비율,결산기간_주가변동률,차입금의존도,조회공시요구카운트,BW금액,최대주주변경카운트,최대주주비율_변동성,유상증자금액,불성실공시법인지정카운트,상호변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액,CB금액,최대주주변경을수반하는주식양수도금액
2012-01,0.16768123271307556,0.13335821100824555,0.15566823266103125,0.13630318721040607,0.08252592357214811,0.0819306829533578,0.07019086268619143,0.07818767780105254,0.014416346925417182,0.023523205095130437,0.014304614466030229,0.010398737171440088,0.0015771029500185562,0.020397403802042115,0.0017251861852705462,0.0022631347097788555,3.212952720301621e-06,0.0027435932180550912,0.0008223697102500793,0.0015041186375067696,0.00047496357083141286
2012-04,0.1712449246975853,0.14082043267559735,0.14314943889864667,0.12459313504362274,0.08621506004116489,0.08759395136602927,0.06893413144775776,0.08281032619305581,0.013250707118544711,0.01937147152047066,0.02158766723338128,0.008087502297871434,0.0038738859834483554,0.021322175734226435,0.002721032492309513,0.0020170063562187242,9.805862434893338e-05,0.000849615975457847,0.0004717793424442529,0.0004303418740054984,0.000557355083812657
2012-07,0.13813678371524338,0.11352511127094843,0.14092648338689498,0.13699560704779803,0.06394566063424872,0.06451754706815727,0.07089352083669208,0.12118700745503441,0.013500324056958215,0.06686852454220832,0.02212173881729081,0.016303330792759835,0.004895711048031609,0.014642362742236355,0.0037925896531167875,0.003636469230357269,0.0004172534871561541,0.0010093265459871436,0.0014396736444548597,0.0006429122522477529,0.0006020617721775559
2012-10,0.16852774327604686,0.1343701639387332,0.15212717155877103,0.12388121723309886,0.0912840823111909,0.08980924521228323,0.08433365490350182,0.0742854955042504,0.01602606518610819,0.02715102600888873,0.013034877024515105,0.012410731174751966,0.002333976159003293,0.001862403979781723,0.002554750292687624,0.0018695483334804299,0.0007051103789325231,0.0018483034615817432,0.0006781520788497648,0.000329725478155289,0.0005765565053873912
2013-01,0.17879237328495082,0.1477428232977025,0.14007394883335722,0.1071070872656591,0.10589223537703941,0.10506338637927592,0.07556092388154179,0.06586402778541856,0.018628420358554092,0.018023900318780803,0.013192457149640633,0.011371225035995514,0.0030027012617401686,0.0021869882424486935,0.0019999771881683615,0.0019786475931195444,0.0010134056703281803,0.0007363400816941656,0.0006435294872877112,0.0005735271444826242,0.0005520743628140835
2013-04,0.181979452112428,0.15943022350201505,0.12640467064863153,0.09564060514545467,0.124870804136154,0.12413403937574811,0.09166859424441455,0.045412926712824646,0.02163267111183332,0.007153819087911943,0.004099227012761346,0.008299911265396864,0.003159718342626031,0.00022994235369642825,0.0012262600890154656,0.0014211459746708548,0.0008533110425507874,0.0003806313801315144,0.0004713232027948786,0.0010747544022566332,0.0004559688566833207
2013-07,0.18021411573670798,0.14475963595205874,0.149274860369835,0.11125761463160513,0.0964673575923599,0.1075207758359732,0.09144541802410747,0.04544633036736455,0.018815041468158482,0.028405757272922015,0.008529991828466971,0.003934028656390396,0.0028648422004906625,0.0007019405012528163,0.0017561912546106377,0.0011478275027445347,0.0007331639729991134,0.0018915245285781087,0.00045728157831032967,0.004108766242405125,0.00026753448265886854
2013-10,0.1673949476048621,0.14042905564602698,0.14608760698719228,0.11518316238791379,0.09146618799125034,0.09334403063897186,0.0859498496531674,0.06466862496523515,0.01772537182870664,0.039927477125646905,0.01076866229467764,0.0003335319140243414,0.00418285486163957,0.007257865983478997,0.0029601926421922503,0.0015659063691731542,0.0005635578126748809,0.0035353874923192757,0.000329487734593695,0.0060883447799629335,0.00023789328628970227
2014-01,0.1817983020627899,0.16504038770503418,0.11980575353739532,0.08956577034882375,0.13067110500738865,0.130679272463336,0.07664477097336402,0.04969184767601873,0.02415349542845452,0.011754771501919009,0.006247423548280363,0.0002443934224461641,0.0018349292738927734,0.0007941247328246328,0.001578521117937312,0.0011435880150625732,0.0003269019358851076,0.002738197469821866,0.000492383156013212,0.004649232849238954,0.00014482777407302927
2014-04,0.17697606025733045,0.15490319121557272,0.13276374452782752,0.09990515731217822,0.11558783382573073,0.12121221272335099,0.07923694085327254,0.04439993565889973,0.02484154397473886,0.020475408745876913,0.008905256334699347,0.0001815631779188541,0.0019010878643375886,0.004439933488074825,0.001142464167762098,0.0005484800864208537,0.00044623121882110024,0.00519208250959153,0.00045827032411040246,0.006225034159439962,0.00025756757404460454
