,차입금의존도,매출채권/총자본,판매 및 관리비/총자본,결산기간_거래량증가,최대주주비율,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액/총자본,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,결산기간_주가변동률,영업현금흐름/총자본,최대주주비율_변동성
2012-01,0.2687539031378104,0.2967136697214471,0.15600926341935895,0.14738382705142386,0.047055475579982395,0.044078931400961696,0.018451190529109623,0.009653278585457333,0.003331719079152675,0.008568741495296022
2013-01,0.24569399728857955,0.2377659191638595,0.20561721965970114,0.13316060138454933,0.0905325783373092,0.055026814538571805,0.012060196720113908,0.009702333468237082,0.009027664867938183,0.0014126745711403614
2014-01,0.2458896155860711,0.2571953584036222,0.2169490646882985,0.13513583045466945,0.07068394101522564,0.029968564541509608,0.016740969172942214,0.01513721050799246,0.005595644411870768,0.006703801217798004
2015-01,0.24419024501856432,0.18862764291838055,0.17535647715858474,0.1309902381271168,0.1147888710267671,0.07511655739248196,0.03948464744585049,0.0009617201799953161,0.006051094802245095,0.024432505930013556
2016-01,0.2667063472237143,0.24423772697934532,0.15152819810360263,0.1072561448616435,0.09568228404300656,0.06566291880722738,0.031219327650730322,0.01373557534319972,0.0011101866335864441,0.02286129035394391
2017-01,0.2443532338397557,0.3367864468443658,0.1728559915189122,0.0007778143416299994,0.15116218838468132,0.034355400868512916,0.00932095852069474,0.02264198201116665,0.02459205173418298,0.0031539319360976803
2018-01,0.11273073169456978,0.08067266361595082,0.04805741388589257,0.02391269243226896,0.19340153050713257,0.17014083779015737,0.043611080812108134,0.039511342438789926,0.22858831465214002,0.05937339217098993
2019-01,0.23130558104875704,0.309225536168718,0.2014714244239259,0.015317642745960723,0.14375816676419922,0.03287596473033264,0.006593515582985948,0.025677668618769335,0.023407338167755642,0.010367161748595533
2020-01,0.10013283445545043,0.08299967827044398,0.07017076980648344,0.00029604624152837006,0.2510246513866321,0.13676871442526597,0.06369110873227317,0.04921223786791332,0.18394238419511452,0.0617615746188948
2021-01,0.11236921496023866,0.08931622194056935,0.06332708075976073,0.0010816863597556431,0.22624370603991195,0.21160135934738955,0.0366229531983772,0.06160093517814201,0.1758725124637256,0.021964329752129357
