,BW금액/총자본,CB금액/총자본,유상증자금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본,최대주주변경을수반하는주식양수도금액/총자본,타법인주식및출자증권취득결정금액/총자본,특수관계인에대한자금대여금액/총자본,매출채권/총자본,매출총이익/총자본,판매 및 관리비/총자본,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,조회공시요구카운트,최대주주변경카운트,결산기간_거래량증가,결산기간_주가변동률,차입금의존도,최대주주비율,최대주주비율_변동성
2012-01,46.975706389691275,12.386986915593672,97.82334055209276,0.0,17.09873026692065,37.517419772905896,5.147039301274663e-07,0.6828770508807178,0.14416700285795375,0.15896142700794283,0.0,0.06962962962962962,0.044444444444444446,0.054814814814814816,0.4237037037037037,0.11555555555555555,1.0694946716499945,1.2127384923429096,29.897885185185192,36.7623125638134,0.0019424390951558897
2013-01,79.38129781282244,26.56490776852627,42.2599510010742,0.0,18.578115643568395,74.10587839809259,5.556243558441237e-06,1.1345522232102077,0.12322022327156704,0.17300262154737936,0.010309278350515464,0.058419243986254296,0.044673539518900345,0.01718213058419244,0.40034364261168387,0.11855670103092783,1.411301940066991,2.6211859893135316,38.8605240549828,36.00505969990398,0.006945517123778072
2014-01,13.399677294516124,34.86740727991079,94.2203070060719,0.0,290.8778700238143,61.4791624438538,9.353840490614262e-07,1.1307466137629063,-0.2888462003758557,0.7023562969005165,0.05100463678516229,0.05873261205564142,0.0401854714064915,0.013910355486862442,0.2642967542503864,0.10973724884080371,inf,2.6324922656902765,31.990631117980424,37.01493481883517,0.003469097600308674
2015-01,5.631971942090999,51.299307870028194,148.2372952453341,6.901923697499341,42.9794750568799,51.82735376231709,1.6657750071668393e-06,1.0914648545349435,0.12272683515662802,0.5904638611006083,0.0375,0.04861111111111111,0.05555555555555555,0.03194444444444444,0.31527777777777777,0.13472222222222222,inf,2.3511905375550946,30.2697787037037,37.578782383994195,0.005790079454714412
2016-01,19.523052018670867,353.27063811386506,63.48366674823681,67.28744934391491,87.2873175002943,80.42356742031396,9.278031490526701e-08,0.37415510975051025,0.06053777185845052,0.08006906878372645,0.18694362017804153,0.18100890207715134,0.12759643916913946,0.032640949554896145,0.6884272997032641,0.4688427299703264,inf,1.1477104573685073,32.70884272997032,23.01175086116137,inf
2017-01,3.338471587781802,77.79750599345564,18.234115498148277,14.752676945404724,25.11713889760506,33.28686514112033,1.8121046111112746e-07,0.5601853400510681,0.16141308004804975,0.15096826022078327,0.06914212548015365,0.03585147247119078,0.0499359795134443,0.08450704225352113,0.1946222791293214,0.1293213828425096,inf,1.4344249670761409,26.421945155783188,36.91861792840317,0.04882860108999701
2018-01,12.228193787645155,211.3297165742885,22.081841807616204,29.84889442489141,49.98266622303784,66.69751252496579,6.17038427999309e-07,0.6200425408299878,0.09876261316663702,0.10202110871209549,0.15495207667731628,0.0878594249201278,0.04472843450479233,0.023961661341853034,0.17412140575079874,0.1853035143769968,inf,1.5451478327790282,35.40167412140575,31.858707088934914,0.0012846273152660986
2019-01,20.776313213726667,220.08478292944127,39.757790202557175,54.41328258302983,42.81607506853068,75.01042242479012,9.664888135518915e-07,0.5450663283712658,0.10043769702667107,0.11517547401307095,0.1270096463022508,0.12379421221864952,0.06430868167202572,0.03858520900321544,0.15755627009646303,0.19131832797427653,inf,1.0320029459969053,37.1521422829582,30.2515894067132,0.007373566086404018
2020-01,8.222877165563121,88.30164254561234,11.9644915841209,34.57022711528508,33.508654312852826,27.032404312396675,1.3928405078780482e-06,0.12304795428449804,0.03257530157265871,0.035506080748401544,0.21450151057401812,0.11329305135951662,0.061933534743202415,0.02416918429003021,0.19637462235649547,0.1555891238670695,1.827936028718126,0.2609723120430818,16.291188318227597,32.73017618348602,0.002317812843596723
2021-01,17.981491288661186,127.67641046018095,30.165035834901108,13.580742530058785,46.200061632630636,31.64828808842673,4.119867806970716e-07,0.17357858867544418,0.04523938431825816,0.04244793525590912,0.14166666666666666,0.07166666666666667,0.04666666666666667,0.011666666666666667,0.12666666666666668,0.13166666666666665,0.62231686917456,0.6006149392839831,16.9662625,35.15732201281047,inf
