,매출채권/총자본,차입금의존도,판매 및 관리비/총자본,매출총이익/총자본,최대주주비율,결산기간_주가변동률,타법인주식및출자증권취득결정금액/총자본,BW금액/총자본,조회공시요구카운트,결산기간_거래량증가,최대주주비율_변동성,유상증자금액/총자본,CB금액/총자본,최대주주변경카운트,특수관계인에대한자금대여금액/총자본,최대주주변경을수반하는주식양수도금액/총자본,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,경영권분쟁소송,최대주주변경을수반하는주식담보제공금액/총자본
2012-01,0.15910032081001696,0.07538738548182233,0.34688445173135174,0.26276818059627516,0.020562930047051176,0.002723348155420402,0.0011886553539988544,0.0011708044692003816,0.0010642392801026629,0.1243035085689915,0.0033512436386951513,0.00045744600168934205,0.00027116426203027346,0.00027809425998160726,1.3054481517076631e-05,6.233680204316393e-05,0.0002543826776733357,6.456411770674291e-05,9.3889264432212e-05,0.0,0.0
2013-01,0.3361808457453417,0.3307393999321002,0.1508517918619474,0.12319435285589954,0.020610946230367,0.007886289437959368,0.007739282614792786,0.006858289139157984,0.004593618705129581,0.003220986782394514,0.003088723325001822,0.002952989638825315,0.0010258007790393852,0.0006683931099873464,0.000125445764657133,7.377717935015911e-05,7.342577006263595e-05,6.90514412063007e-05,3.1940107368524576e-05,1.4649579411284703e-05,0.0
2014-01,0.20741477763643035,0.12326947983402879,0.3416169703655957,0.25191696795248975,0.040320290248226164,0.023286741642419888,0.0004915439510701754,2.9653578795466327e-05,0.001030839781420731,0.0007529753171924855,0.007139420112914012,0.0007431187905147865,0.0014140948446505449,0.0001255222812364195,1.6648954284701418e-05,5.078006194436291e-05,0.00032028911018002696,2.1460057098844798e-05,9.985252663352012e-06,2.8440226843612642e-05,0.0
2015-01,0.17886377035411635,0.07151695128095016,0.32943012366240226,0.27598070996750773,0.009126201135781374,0.007447966079784249,0.0021240082997729106,4.526595092842614e-06,0.0013418408733397995,0.11264867618372403,0.009690945205481622,0.0004558914790056147,0.0009234469285726413,0.00021350303452689085,6.302146659643096e-05,7.749786579881084e-05,6.66583985608647e-05,1.7066127244480903e-06,1.9213417348932497e-06,8.381966673556306e-06,1.2251267852513178e-05
2016-01,0.052723186301163134,0.09811609242249039,0.09717467355170614,0.1407035327369819,0.20631000053325316,0.018863474214467282,0.022815950165296566,0.0006960199618680379,0.03517951566945047,0.0053872623444605056,0.12692673286111852,0.00458495786729234,0.13755300632336934,0.03193799382754373,3.447846498559685e-08,0.0061151562603545834,0.006415366834292083,0.0030553162557574107,0.00017176593090508982,0.0009038014011339548,0.0043661600586301225
2017-01,0.1282643820330626,0.04671810933977544,0.35056207917119997,0.34794877189882806,0.008904623552266124,0.00172695338056128,0.0003628044634598379,6.435004694763765e-06,8.087339776285358e-05,0.1125841722174801,0.0006329778143721363,1.4328050041172614e-05,0.0008106658853162127,0.0004954665150943182,2.45096671572894e-06,0.00022430453723511556,0.00014246300857151053,5.0131937881572845e-05,0.00038445586087116913,5.141028978211674e-05,3.214067502778595e-05
2018-01,0.22615634904712023,0.335223064627777,0.1466590890981363,0.13572481550551632,0.07632767906282857,0.0015398837988786639,0.009565294188385887,2.7685683228423595e-05,0.0003323424727371957,0.020830317839260214,0.00955117158269061,0.0009892999597468839,0.029943694973394677,0.003128755284606259,1.2571283479121372e-05,0.0006420323466364487,0.0007300456093493289,2.3544296292713858e-05,5.947930132210573e-05,0.0002299090222732188,0.0023029750163399408
2019-01,0.15476773069203528,0.32001400819602555,0.14728644711987712,0.1307587085686661,0.11165220481524293,0.0008280239068254774,0.010628142513513197,0.0002370285157557978,0.0033901689347642086,0.0350359933996969,0.028963577154691098,0.001237609607953289,0.043210078331684686,0.006317232968037467,3.6184243525995814e-06,0.0007970258266937287,0.002655322482081012,0.0007226883421464222,7.326119484978987e-06,0.0003202038948277637,0.0011668601856444495
2020-01,0.2475780492414138,0.08019196274243379,0.17238041769832727,0.19916436267232496,0.13072354020564558,0.1207566526937792,0.00044490071103162315,0.00025062627569231327,0.0009611568862111143,0.009578655529125325,0.023264405426859466,2.6516210926665814e-05,0.006643602708840227,0.0028480537835972337,5.001253554195391e-05,0.0007202741931040026,0.002279237252351211,0.0005070943357186019,2.6208051638883277e-05,0.0005936276626925139,0.0010106431827440394
2021-01,0.08836824035851722,0.04492162174725424,0.15177755422890862,0.15723435904434838,0.01960166916035155,0.05542573242256854,0.0020043617100598513,0.00011916284485642264,0.0005192533342924583,0.4684538853203448,0.004799851854456483,0.0001790754565627389,0.005034740394124461,0.00041704582652069054,1.1561680539885002e-05,0.00042812623869628325,0.0002509057206409137,0.00038275985559039604,2.554916098491689e-05,3.142905560020945e-05,1.3114584780860898e-05
