,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,675.0,582.0,461.0,478.0,679.0,498.0,758.0,622.0,662.0,831.0,718.0
1,453.0,643.0,513.0,720.0,722.0,781.0,482.0,808.0,794.0,600.0,881.0
2,466.0,380.0,647.0,464.0,337.0,513.0,626.0,489.0,523.0,597.0,460.0
기업수,1594.0,1605.0,1621.0,1662.0,1738.0,1792.0,1866.0,1919.0,1979.0,2028.0,2059.0
