,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.611111111111111,0.5333333333333333,0.2727272727272727,0.125,0.07142857142857142,0.19354838709677422,0.22727272727272727,0.7894736842105263,0.5476190476190477,0.3191489361702127
1,0.11111111111111112,0.4666666666666666,0.22727272727272727,0.375,0.10714285714285715,0.3548387096774194,0.0909090909090909,0.14035087719298245,0.4285714285714286,0.425531914893617
2,0.2777777777777778,0.0,0.4999999999999999,0.5,0.8214285714285714,0.4516129032258065,0.6818181818181818,0.07017543859649122,0.02380952380952381,0.2553191489361702
포착군집,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
