,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
0,STX중공업,071970,2013-12-17,2500,유상증자(제3자배정),기명식 보통,70882000,177205000000
1,현대두산인프라코어,042670,2013-12-17,10845,유상증자(DR),기명식 보통,38797280,420756501600
2,STX조선해양,067250,2013-12-04,2500,유상증자(제3자배정),기명식 보통,15573046,38932615000
3,DRB동일,004840,2013-11-28,500,유상증자(공모증자),기명식 보통,4269461,2134730500
4,한화손해보험,000370,2013-11-25,3740,유상증자(주주우선공모증자),기명식 보통,42000000,157080000000
5,태평양물산,007980,2013-11-25,2275,유상증자(주주배정후실권주일반공모),기명식 보통,7900000,17972500000
6,HMM,011200,2013-11-22,10400,유상증자(구주주배정),기명식 보통,15000000,156000000000
7,제이준코스메틱,025620,2013-11-20,500,유상증자(제3자배정),기명식 보통,5000000,2500000000
9,형지엘리트,093240,2013-11-18,3021,유상증자(제3자배정),기명식 보통,2061891,6228972711
10,KEC,092220,2013-11-13,774,유상증자(주주배정후실권주일반공모),기명식 보통,40000000,30960000000
11,대한해운,005880,2013-11-13,13477,유상증자(제3자배정),기명식 보통,12243622,165007293694
12,씨아이테크,004920,2013-11-11,1155,유상증자(제3자배정),기명식 보통,1211000,1398705000
13,한국가스공사,036460,2013-11-05,47250,유상증자(구주주배정),기명식 보통,15028490,710096152500
14,금호건설,002990,2013-11-04,13000,제3자배정유상증자(출자전환),기명식 보통,7638916,99305908000
15,인스코비,006490,2013-10-28,2045,유상증자(제3자배정),기명식 보통,4657570,9524730650
16,에이프로젠바이오로직스,003060,2013-10-25,500,유상증자(제3자배정),기명식 보통,10000000,5000000000
17,STX엔진,077970,2013-10-15,2500,제3자배정유상증자(출자전환),기명식 보통,20521600,51304000000
18,대성산업,128820,2013-09-30,5160,유상증자(제3자배정),기명식 보통,8662790,44699996400
19,동양건설,005900,2013-09-24,5000,유상증자(제3자배정),기명식 보통,13069,65345000
20,두산에너빌리티,034020,2013-09-12,41950,유상증자(제3자배정),기명식 보통,300689,12613903550
21,대한해운,005880,2013-09-11,100000,유상증자(제3자배정),기명식 보통,553143,55314300000
22,벽산건설,002530,2013-09-02,5000,유상증자(제3자배정),기명식 보통,500324,2501620000
23,흥아해운,003280,2013-09-02,1155,유상증자(구주주배정),기명식 보통,14000000,16170000000
24,티웨이홀딩스,004870,2013-08-26,2005,유상증자(제3자배정),기명식 보통,4987532,10000001660
25,오리엔트바이오,002630,2013-08-16,500,유상증자(구주주배정),기명식 보통,20000000,10000000000
