,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
0,웅진,016880,2019-12-24,500.0,유상증자(제3자배정),기명식 보통,5211662.0,2605831000.0
1,현대일렉트릭,267260,2019-12-24,6840.0,유상증자(구주주배정),기명식 보통,15690000.0,107319600000.0
2,금호전기,001210,2019-12-24,3035.0,유상증자(제3자배정),기명식 보통,329480.0,999971800.0
3,남광토건,001260,2019-12-23,22500.0,유상증자(제3자배정),기명식 보통,1215.0,27337500.0
4,미래산업,025560,2019-12-23,121.0,유상증자(주주우선공모),기명식 보통,208400000.0,25216400000.0
5,코스모화학,005420,2019-12-19,3710.0,유상증자(구주주배정),기명식 보통,10000000.0,37100000000.0
6,에스엠벡셀,010580,2019-12-18,811.0,유상증자(제3자배정),기명식 보통,1233040.0,999995440.0
7,이아이디,093230,2019-12-16,208.0,유상증자(제3자배정),기명식 보통,96153846.0,19999999968.0
8,인바이오젠,101140,2019-11-25,2425.0,유상증자(제3자배정),기명식 보통,6000000.0,14550000000.0
9,카카오,035720,2019-11-18,137779.0,유상증자(제3자배정),기명식 보통,2177401.0,300000132379.0
10,컨버즈,109070,2019-11-08,505.0,유상증자(제3자배정),기명식 보통,10910877.0,5509992885.0
11,코스모신소재,005070,2019-11-08,6650.0,유상증자(구주주배정),기명식 보통,9500000.0,63175000000.0
12,TYM,002900,2019-11-08,700.0,유상증자(구주주배정),기명식 보통,50000000.0,35000000000.0
13,웰바이오텍,010600,2019-11-07,2380.0,유상증자(제3자배정),기명식 보통,812785.0,1934428300.0
14,동부건설,005960,2019-10-29,5000.0,유상증자(제3자배정),기명식 보통,941916.0,4709580000.0
15,롯데손해보험,000400,2019-10-24,2130.0,유상증자(제3자배정),기명식 보통,176056320.0,374999961600.0
16,콤텍시스템,031820,2019-10-24,948.0,유상증자(구주주배정),기명식 보통,20000000.0,18960000000.0
17,키다리스튜디오,020120,2019-10-17,3810.0,유상증자(제3자배정),기명식 보통,551180.0,2099995800.0
18,센트럴인사이트,012600,2019-10-15,5000.0,유상증자(제3자배정),기명식 보통,199999.0,999995000.0
19,기업은행,024110,2019-10-08,11299.0,유상증자(제3자배정),기명식 보통,2212585.0,24999997915.0
20,HLB글로벌,003580,2019-10-07,6360.0,유상증자(제3자배정),기명식 보통,1572328.0,10000006080.0
21,미원상사,002840,2019-10-07,50700.0,유상증자(제3자배정),기명식 보통,53177.0,2696073900.0
22,삼부토건,001470,2019-09-25,1000.0,유상증자(제3자배정),기명식 보통,12124660.0,12124660000.0
23,국보,001140,2019-09-24,1278.0,유상증자(제3자배정),기명식 보통,3913580.0,5001555240.0
24,인스코비,006490,2019-08-29,2035.0,유상증자(제3자배정),기명식 보통,3587219.0,7299990665.0
25,초록뱀헬스케어,118000,2019-08-27,1665.0,유상증자(제3자배정),기명식 보통,600600.0,999999000.0
26,디아이씨,092200,2019-08-23,2045.0,유상증자(구주주배정),기명식 보통,14903200.0,30477044000.0
27,참엔지니어링,009310,2019-08-23,1091.0,유상증자(제3자배정),기명식 보통,1631520.0,1779988320.0
28,에이프로젠바이오로직스,003060,2019-08-23,747.0,유상증자(제3자배정),기명식 보통,26773762.0,20000000214.0
29,일진다이아,081000,2019-08-21,24950.0,유상증자(구주주배정),기명식 보통,2925000.0,72978750000.0
30,국보,001140,2019-08-19,1278.0,유상증자(제3자배정),기명식 보통,3229885.0,4127793030.0
31,평화산업,090080,2019-08-14,1045.0,유상증자(구주주배정),기명식 보통,17498415.0,18285843675.0
32,KH 필룩스,033180,2019-08-13,4840.0,유상증자(제3자배정),기명식 보통,11333000.0,54851720000.0
33,키다리스튜디오,020120,2019-08-12,4170.0,유상증자(제3자배정),기명식 보통,575537.0,2399989290.0
34,한화투자증권,003530,2019-08-09,2375.0,유상증자(제3자배정),기명식 보통,42105264.0,100000002000.0
35,에이프로젠바이오로직스,003060,2019-08-09,802.0,유상증자(구주주배정),기명식 보통,106902372.0,85735702344.0
36,쎌마테라퓨틱스,015540,2019-08-01,5820.0,유상증자(제3자배정),기명식 보통,171820.0,999992400.0
37,동부건설,005960,2019-07-30,5000.0,유상증자(제3자배정),기명식 보통,5740.0,28700000.0
38,진원생명과학,011000,2019-07-19,4010.0,유상증자(제3자배정),기명식 보통,735661.0,2950000610.0
39,미원에스씨,268280,2019-07-18,66400.0,유상증자(제3자배정),기명식 보통,46615.0,3095236000.0
40,쎌마테라퓨틱스,015540,2019-07-17,6520.0,유상증자(제3자배정),기명식 보통,766872.0,5000005440.0
41,한솔테크닉스,004710,2019-07-16,5000.0,유상증자(구주주배정),기명식 보통,10000000.0,50000000000.0
42,플레이그램,009810,2019-07-02,1100.0,유상증자(제3자배정),기명식 보통,909090.0,999999000.0
43,국동,005320,2019-07-02,1370.0,유상증자(구주주배정),기명식 보통,13500000.0,18495000000.0
