,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
0,KH 필룩스,033180,2016-12-29,3545,유상증자(제3자배정),기명식 보통,282088,1000001960
1,코스맥스,192820,2016-12-28,89400,유상증자(구주주배정),기명식 보통,1050000,93870000000
2,웅진에너지,103130,2016-12-26,5000,유상증자(제3자배정),기명식 보통,282204,1411020000
3,주연테크,044380,2016-12-22,1120,유상증자(공모증자),기명식 보통,892800,999936000
4,삼부토건,001470,2016-12-22,5000,유상증자(제3자배정),기명식 보통,3529810,17649050000
5,STX,011810,2016-12-13,3205,유상증자(제3자배정),기명식 보통,17451960,55933531800
6,이엔플러스,074610,2016-12-13,2317,유상증자(제3자배정),기명식 보통,1078982,2500001294
7,태평양물산,007980,2016-12-08,2875,유상증자(제3자배정),기명식 보통,3478261,10000000375
8,미래아이앤지,007120,2016-12-02,1313,유상증자(제3자배정),기명식 보통,1523230,2000000990
9,팬오션,028670,2016-11-29,12500,유상증자(제3자배정),기명식 보통,1982623,24782787500
10,씨아이테크,004920,2016-11-28,705,유상증자(제3자배정),기명식 보통,2840000,2002200000
11,넥솔론,110570,2016-11-24,1000,유상증자(제3자배정),기명식 보통,275289,275289000
12,삼성중공업,010140,2016-11-23,7170,유상증자(구주주배정),기명식 보통,159124614,1140923482380
13,한일현대시멘트,006390,2016-11-22,23225,유상증자(제3자배정),기명식 보통,2515276,58417285100
14,메타랩스,090370,2016-11-21,1005,유상증자(제3자배정),기명식 보통,995025,1000000125
15,동방,004140,2016-11-17,1675,유상증자(구주주배정),기명식 보통,11000000,18425000000
16,컨버즈,109070,2016-11-16,624,유상증자(구주주배정),기명식 보통,25109593,15668386032
17,페이퍼코리아,001020,2016-11-14,500,유상증자(구주주배정),기명식 보통,61000000,30500000000
18,아시아나항공,020560,2016-11-11,5000,유상증자(구주주배정),기명식 보통,10133929,50669645000
19,에스엠벡셀,010580,2016-11-08,597,유상증자(구주주배정),기명식 보통,14000000,8358000000
20,마니커,027740,2016-11-02,602,유상증자(구주주배정),기명식 보통,33350000,20076700000
21,YG PLUS,037270,2016-10-31,2540,유상증자(제3자배정),기명식 보통,659850,1676019000
22,한일현대시멘트,006390,2016-10-27,23225,유상증자(제3자배정),기명식 보통,3758127,87282499575
23,팬오션,028670,2016-10-18,12500,유상증자(제3자배정),기명식 보통,80833,1010412500
24,동아쏘시오홀딩스,000640,2016-10-17,175232,유상증자(공모증자),기명식 보통,1011096,177176374272
25,웅진에너지,103130,2016-10-17,5500,유상증자(주주배정후실권주일반공모),기명식 보통,11800000,64900000000
26,미래아이앤지,007120,2016-10-14,1700,유상증자(제3자배정),기명식 보통,587647,998999900
27,플레이그램,009810,2016-10-06,781,유상증자(구주주배정),기명식 보통,30400000,23742400000
28,와이투솔루션,011690,2016-10-05,2850,유상증자(제3자배정),기명식 보통,8771929,24999997650
29,한화투자증권,003530,2016-10-04,2245,유상증자(구주주배정),기명식 보통,89086860,200000000700
30,범양건영,002410,2016-09-23,5000,유상증자(제3자배정),기명식 보통,340,1700000
31,현대페인트,011720,2016-09-19,818,유상증자(제3자배정),기명식 보통,6112470,5000000460
32,삼성제약,001360,2016-09-06,4645,유상증자(구주주배정),기명식 보통,9000000,41805000000
