,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
120,동부건설,005960,2021-08-03,5000,유상증자(제3자배정),기명식 보통,5431,27155000
121,초록뱀헬스케어,118000,2021-07-26,1315,유상증자(구주주배정),기명식 보통,27138644,35687316860
122,KC코트렐,119650,2021-07-23,5750,유상증자(구주주배정),기명식 보통,4600000,26450000000
123,대호에이엘,069460,2021-07-22,1715,유상증자(제3자배정),기명식 보통,14577259,24999999185
124,보령,003850,2021-07-22,17750,유상증자(구주주배정),기명식 보통,5550000,98512500000
125,롯데칠성음료,005300,2021-07-16,157872,유상증자(제3자배정),기명식 보통,303761,47955356592
126,롯데푸드,002270,2021-07-16,442863,유상증자(제3자배정),기명식 보통,77185,34182380655
127,하이트론씨스템즈,019490,2021-07-09,10086,유상증자(제3자배정),기명식 보통,99140,999926040
128,흥아해운,003280,2021-07-09,500,유상증자(제3자배정),기명식 보통,213003547,106501773500
129,세원이앤씨,091090,2021-07-07,1740,유상증자(공모증자),기명식 보통,574712,999998880
130,코스맥스,192820,2021-07-05,103000,유상증자(구주주배정),기명식 보통,1300000,133900000000
131,콘텐트리중앙,036420,2021-07-02,46749,유상증자(제3자배정),기명식 보통,1255775,58706225475
132,하이브,352820,2021-06-29,210608,유상증자(제3자배정),기명식 보통,863209,181798721072
133,대한해운,005880,2021-06-25,2490,유상증자(구주주배정),기명식 보통,74906370,186516861300
134,한화시스템,272210,2021-06-18,14750,유상증자(구주주배정),기명식 보통,78689000,1160662750000
135,하이브,352820,2021-06-17,200000,유상증자(구주주배정),기명식 보통,2227848,445569600000
136,케이비아이동국실업,001620,2021-06-16,786,유상증자(제3자배정),기명식 보통,20356234,15999999924
137,DL,000210,2021-05-31,89829,유상증자(공모증자),기명식 보통,5514622,495372979638
138,기업은행,024110,2021-05-14,8706,유상증자(제3자배정),기명식 보통,5636227,49068992262
139,한일현대시멘트,006390,2021-05-11,37800,유상증자(제3자배정),기명식 보통,953245,36032661000
140,자이에스앤디,317400,2021-05-10,9160,유상증자(구주주배정),기명식 보통,12000000,109920000000
141,컨버즈,109070,2021-05-06,544,유상증자(제3자배정),기명식 보통,183821,99998624
142,동부건설,005960,2021-05-03,5000,유상증자(제3자배정),기명식 보통,19891,99455000
143,아센디오,012170,2021-04-29,1500,유상증자(제3자배정),기명식 보통,1486662,2229993000
144,한국내화,010040,2021-04-29,4000,유상증자(제3자배정),기명식 보통,18203430,72813720000
145,다스코,058730,2021-04-22,4485,유상증자(제3자배정),기명식 보통,900000,4036500000
146,두산에너빌리티,034020,2021-04-13,11375,유상증자(제3자배정),기명식 보통,47843956,544224999500
147,컨버즈,109070,2021-03-30,544,유상증자(제3자배정),기명식 보통,919113,499997472
148,KH 필룩스,033180,2021-03-29,3235,유상증자(구주주배정),기명식 보통,36100000,116783500000
149,롯데리츠,330590,2021-03-23,4695,유상증자(구주주배정),기명식 보통,71000000,333345000000
150,대한항공,003490,2021-03-19,19100,유상증자(구주주배정),기명식 보통,173611112,3315972239200
151,국보,001140,2021-03-15,1928,유상증자(제3자배정),기명식 보통,518672,999999616
152,한화솔루션,009830,2021-03-15,42850,유상증자(구주주배정),기명식 보통,31414000,1346089900000
153,일진디스플,020760,2021-03-02,4005,유상증자(구주주배정),기명식 보통,6153846,24646153230
154,에쓰씨엔지니어링,023960,2021-02-22,2390,유상증자(제3자배정),기명식 보통,3766000,9000740000
155,YG PLUS,037270,2021-02-19,6344,유상증자(제3자배정),기명식 보통,3152584,19999992896
156,씨에스윈드,112610,2021-02-17,123000,유상증자(구주주배정),기명식 보통,3800000,467400000000
157,센트럴인사이트,012600,2021-02-08,5010,유상증자(제3자배정),기명식 보통,2894210,14499992100
