,기업공시코드,시장
359,A009420,Y
360,A009440,Y
361,A009450,Y
362,A009460,Y
363,A009470,Y
364,A009520,K
365,A009540,Y
366,A009580,Y
367,A009620,K
368,A009680,Y
369,A009730,K
370,A009770,Y
371,A009780,K
372,A009810,Y
373,A009830,Y
374,A009900,Y
375,A009970,Y
376,A010040,Y
377,A010050,Y
378,A010060,Y
379,A010100,Y
380,A010120,Y
381,A010130,Y
382,A010140,Y
383,A010170,K
384,A010240,K
385,A010280,K
386,A010400,Y
387,A010420,Y
388,A010470,K
389,A010580,Y
390,A010600,Y
391,A010620,Y
392,A010640,Y
393,A010660,Y
394,A010690,Y
395,A010770,Y
396,A010780,Y
397,A010820,Y
398,A010950,Y
399,A010960,Y
400,A011000,Y
401,A011040,K
402,A011070,Y
403,A011080,K
404,A011090,Y
405,A011150,Y
406,A011170,Y
407,A011200,Y
408,A011210,Y
409,A011230,Y
410,A011280,Y
411,A011300,Y
412,A011320,K
413,A011330,Y
414,A011370,K
415,A011390,Y
416,A011420,Y
417,A011500,Y
418,A011560,K
419,A011690,Y
420,A011700,Y
421,A011760,Y
422,A011780,Y
423,A011790,Y
424,A011810,Y
425,A011930,Y
426,A012030,Y
427,A012160,Y
428,A012170,Y
429,A012200,Y
430,A012280,Y
431,A012320,Y
432,A012330,Y
433,A012340,K
434,A012450,Y
435,A012510,Y
436,A012600,Y
437,A012610,Y
438,A012620,K
439,A012630,Y
440,A012690,Y
441,A012700,K
442,A012750,Y
443,A012790,K
444,A012800,Y
445,A012860,K
446,A013000,Y
447,A013030,K
448,A013120,K
449,A013310,K
450,A013360,Y
451,A013520,Y
452,A013570,Y
453,A013580,Y
454,A013700,Y
455,A013720,K
456,A013810,K
457,A013870,Y
458,A013890,Y
459,A013990,K
460,A014100,K
461,A014130,Y
462,A014160,Y
463,A014190,K
464,A014200,K
465,A014280,Y
466,A014440,Y
467,A014470,K
468,A014530,Y
469,A014570,K
470,A014580,Y
471,A014620,K
472,A014680,Y
473,A014710,Y
474,A014790,Y
475,A014820,Y
476,A014830,Y
477,A014910,Y
478,A014940,K
479,A014970,K
480,A014990,Y
481,A015020,Y
482,A015230,Y
483,A015260,Y
484,A015360,Y
485,A015540,Y
486,A015590,Y
487,A015710,K
488,A015750,K
489,A015760,Y
490,A015860,Y
491,A015890,Y
492,A016090,Y
493,A016100,K
494,A016250,K
495,A016360,Y
496,A016380,Y
497,A016450,Y
498,A016580,Y
499,A016590,Y
500,A016600,K
501,A016610,Y
502,A016670,K
503,A016710,Y
504,A016740,Y
505,A016790,K
506,A016800,Y
507,A016880,Y
508,A016920,K
509,A017000,K
510,A017040,Y
511,A017180,Y
512,A017250,K
513,A017370,Y
514,A017390,Y
515,A017480,K
516,A017510,K
517,A017550,Y
