,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.004784688995215311,0.004784688995215311,0.014354066985645933,0.0430622009569378,0.0430622009569378,0.03827751196172249,0.10526315789473684,0.07655502392344497,0.004784688995215311,0.004784688995215311
1,0.03827751196172249,0.028708133971291867,0.03827751196172249,0.028708133971291867,0.019138755980861243,0.05741626794258373,0.014354066985645933,0.014354066985645933,0.09569377990430622,0.009569377990430622
2,0.028708133971291867,0.028708133971291867,0.004784688995215311,0.014354066985645933,0.028708133971291867,0.028708133971291867,0.019138755980861243,0.03349282296650718,0.0430622009569378,0.06220095693779904
포착군집,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
