,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,매출채권,영업현금흐름,차입금의존도,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,1303256155.7788944,359091487.0665829,0.0,0.07914572864321608,0.04020100502512563,0.09296482412060302,295658390.41080403,0.3630653266331658,0.0,746008592.0075377,0.11180904522613065,1410100691.2386935,16.331658291457288,inf,0.4513406202627537,12537287.611695979,-506448.7103402432,20.759839824120604,36.65310799633921,3900099.647966918,0.001581941366879622
2013-01,1920783500.6273525,418863762.47929734,0.0075282308657465494,0.06775407779171895,0.05144291091593475,0.020075282308657464,786156967.348808,0.2584692597239649,0.0,744252068.1204517,0.12296110414052698,1704674779.8757842,50.188205771643666,inf,0.7066433808697978,14134838.138958594,-661891.4850512338,22.84891886240067,35.66202139331183,3310648.545387913,0.003523232913008535
2014-01,163171717.17171717,2081561852.3696969,0.06262626262626263,0.09090909090909091,0.06464646464646465,0.01616161616161616,3407687459.139394,0.32727272727272727,0.0,505015904.3757576,0.1595959595959596,7021568551.818182,0.0,inf,1.4219422472944083,25165161.064388886,-5570050.161121212,38.24007575757576,29.24831801278087,10687581.421730641,0.02686024640889707
2015-01,250724637.6811594,3041430132.1490684,0.060041407867494824,0.09730848861283643,0.09316770186335403,0.055900621118012424,1390258915.8095238,0.4968944099378882,212275351.9668737,1579632488.778468,0.23395445134575568,3471525266.857143,0.0,inf,0.6527799206167478,14755562.300942028,-630983.0332022085,27.612965838509318,31.647500817304476,3478366.5216683927,inf
2016-01,458014757.2815534,5187279271.225243,0.19029126213592232,0.11650485436893204,0.09902912621359224,0.02330097087378641,847451662.423301,0.5398058252427185,1102918715.3553398,2063317934.9262135,0.3300970873786408,2408901683.72233,0.0,inf,0.7167660542008503,12936569.955407767,172160.2143398058,24.400058252427183,32.11000223064172,2720275.4731391585,inf
2017-01,323984674.3295019,3437511081.0868454,0.1392081736909323,0.08173690932311622,0.070242656449553,0.07407407407407407,805585613.8671775,0.2541507024265645,1347482013.2030652,1873978609.8224776,0.210727969348659,1510715987.8939974,0.0,inf,0.3738611716366033,11401905.760697102,-2202741.7351479353,16.761234567901237,33.892643677535126,6133038.844596637,inf
2018-01,2238929480.46875,13006049337.5,0.255859375,0.146484375,0.083984375,0.03125,1396823238.8535156,0.2578125,1866200048.5410156,2667335997.9765625,0.294921875,6042897429.6171875,366.7890625,inf,0.8846256026175171,20052583.44620117,-8604022.499016926,31.24123046875,23.9923817643777,9019254.19485677,0.007028872124917346
2019-01,555617977.0730337,4517692148.820225,0.0800561797752809,0.08848314606741572,0.037921348314606744,0.037921348314606744,431722432.2050562,0.13202247191011235,2209138122.219101,2961061800.908708,0.1348314606741573,2150421026.3595505,14.044943820224718,inf,0.3325093577202447,16116679.003363764,-1775818.8847378278,18.46154377340824,38.37663035291048,4909398.671872659,-0.009592964446195451
2020-01,1172697368.4210527,7716563774.671053,0.27960526315789475,0.16776315789473684,0.09375,0.03782894736842105,6534057226.572369,0.2878289473684211,1499327470.444079,1976896294.4671052,0.2450657894736842,9872540694.509869,1617.1052631578948,inf,0.39827671914125434,14219399.920045232,-14433219.098658169,31.39638157894737,23.031344072978555,13220366.299479168,inf
2021-01,1294247787.6106195,13214277425.840708,0.23303834808259588,0.12684365781710916,0.09144542772861357,0.017699115044247787,5056664359.59587,0.168141592920354,1247667119.3436577,1527444612.783186,0.2153392330383481,3568743162.560472,243.36283185840708,inf,0.7086222010755158,15336228.542511063,-7211747.390559244,30.442883480825962,25.994733228956576,9918947.967679448,inf
