,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.0,0.0,0.0031645569620253164,0.0031645569620253164,0.006329113924050633,0.022151898734177215,0.11075949367088607,0.10443037974683544,0.006329113924050633,0.028481012658227847
1,0.04430379746835443,0.04113924050632911,0.056962025316455694,0.04430379746835443,0.00949367088607595,0.0759493670886076,0.006329113924050633,0.006329113924050633,0.12025316455696203,0.006329113924050633
2,0.012658227848101266,0.006329113924050633,0.00949367088607595,0.0031645569620253164,0.07278481012658228,0.0,0.022151898734177215,0.06962025316455696,0.006329113924050633,0.11392405063291139
포착군집,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0
