,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,1.0,0.8666666666666666,0.0,0.06249999999999999,0.03571428571428571,0.0,0.13636363636363638,0.9122807017543859,0.14285714285714288,0.8333333333333334
1,0.0,0.06666666666666667,0.13043478260869565,0.0,0.03571428571428571,0.9354838709677419,0.022727272727272728,0.017543859649122806,0.0,0.041666666666666664
2,0.0,0.06666666666666667,0.8695652173913044,0.9375,0.9285714285714285,0.06451612903225806,0.8409090909090909,0.07017543859649122,0.8571428571428572,0.125
포착군집,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0
