,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,544.0,566.0,496.0,630.0,629.0,531.0,719.0,670.0,740.0,792.0,774.0
1,468.0,596.0,585.0,525.0,540.0,629.0,575.0,567.0,537.0,540.0,559.0
2,616.0,462.0,572.0,557.0,591.0,677.0,611.0,716.0,734.0,728.0,735.0
기업수,1628.0,1624.0,1653.0,1712.0,1760.0,1837.0,1905.0,1953.0,2011.0,2060.0,2068.0
