,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,총자본,영업현금흐름/총자본,최대주주비율,차입금의존도,매출총이익/총자본,매출채권/총자본,BW금액+CB금액+유상증자금액/총자본,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,결산기간_주가변동률,결산기간_거래량증가,최대주주변경카운트,최대주주비율_변동성,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액/총자본,상호변경카운트+업종변경카운트,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액/총자본
2012-01,0.208476489577659,0.17976268736966247,0.11039804064555932,0.11539076387511187,0.06498894048278295,0.07741391910846496,0.05333902953687153,0.07384033897990004,0.03371846040432473,0.03405944595559849,0.013029148860642086,0.011292501954098585,0.0009562464744938418,0.002928267887629911,0.0185956471529307,0.00024132338920859213,0.0009361494558722367,0.0006325988891887233
2012-04,0.1821162643649291,0.21646108539782835,0.07867160136069962,0.026066322107845916,0.08952230423213921,0.014474355391180513,0.04074225721813263,0.25319806321834415,0.07231775183980407,0.007948751822675274,0.0037626227502114322,0.007994112872769306,0.001377032355218586,0.0003215758921892861,0.0032709217878960756,0.0005232496550571969,0.0010804481142784794,0.00015127961880089633
2012-07,0.20852015071339475,0.18063054886775495,0.12029073644381855,0.0979638683481169,0.07863236779333581,0.07833735176157441,0.053586575206920145,0.06843486815297134,0.04045388231017296,0.032982466584608,0.016627124659828435,0.006656873733137265,0.00021679849439934105,0.0029396291217114604,0.010433153921215101,0.0018213031340891205,0.0009563839090112607,0.0005159168439400536
2012-10,0.20752434035411196,0.19345610220629586,0.11336085745087168,0.0850031384602347,0.08836636008566733,0.08066129223282201,0.060439882319418436,0.06920418501475109,0.03830294008277861,0.03262886329041926,0.01103965851629385,0.005072049736570774,0.0017434069546254918,0.0016828825098153147,0.007165292684573995,0.0028669004211086223,0.0010261904875524237,0.00045565719208877923
2013-01,0.22191996015516513,0.1963747690634003,0.10985845766819333,0.08111357838779051,0.0806501502879424,0.07376447205312701,0.07278947871875312,0.06935398511058104,0.04580395141827616,0.022483673311620597,0.010524043196140238,0.00572868059395673,0.0023337459816324467,0.0021019027714794113,0.0020425181234122146,0.0017444003443226603,0.001004197494165845,0.00040803532004084984
2013-04,0.21076867978285785,0.20152385871622697,0.09515655713818409,0.07924486096595856,0.09960428527438706,0.07140683206753028,0.07099511605283064,0.07122413530486076,0.04252949044914419,0.030885943179328017,0.01148316009863471,0.005658935693657308,0.0019218733756336823,0.0025776788889015677,0.001455059840481487,0.0010657199533035606,0.002054547553894135,0.000443265664185208
2013-07,0.21582636745096406,0.1993103564251568,0.10063846784709551,0.06661258840558137,0.08486438825254612,0.06487518829898344,0.08687390680152371,0.07061331252782714,0.05250750570785377,0.0332687274028101,0.009471686880328968,0.004164515831943447,0.0033683000501478545,0.0023019918273252285,0.002884268040604407,0.0016855120748942604,0.0005015696287622057,0.00023134654565149833
2013-10,0.21654668498310026,0.19702536943335705,0.10250935535945732,0.0838572453734743,0.07474713837655288,0.07661809229613674,0.08398802331497487,0.07248550260448183,0.04663049037163193,0.02041373060729975,0.0073386737902957355,0.00626750958901524,0.0003712717074503196,0.0024742085675113754,0.006216871553266819,0.0019492894409048412,0.0003736229225827956,0.00018691970850602744
2014-01,0.1509450662005289,0.20174128929570978,0.11850751001187504,0.026722216812423785,0.08687889247398758,0.018431827129741486,0.025900980620268556,0.29789605353922555,0.057006243934091226,0.0045814938722297666,0.0018703627189779087,0.0030060085631999087,0.0019304384721829273,0.00024242232576947146,0.0036185270494320256,0.0002978399976351718,0.0004181401311924021,4.686851528520176e-06
2014-04,0.21993817770573534,0.21609616754788366,0.09222589997922913,0.08324670355847463,0.10221702180151414,0.06559423658762131,0.060474107577959874,0.07927703792369903,0.03273869272057998,0.0178648998438451,0.012352262393033615,0.009097249436910537,0.0018831030344984233,0.0008860288525867164,0.0028458817392624956,0.0018439956501186841,0.0009711040867702261,0.0004474295602772
