,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01
0,0.05063291139240506,0.006329113924050633,0.0379746835443038,0.0379746835443038,0.03481012658227848,0.0,0.0,0.06645569620253164,0.04746835443037975,0.006329113924050633,0.04430379746835443,0.0,0.05063291139240506,0.012658227848101266,0.00949367088607595,0.012658227848101266,0.0031645569620253164,0.08544303797468354,0.060126582278481014,0.006329113924050633,0.0031645569620253164,0.1550632911392405,0.00949367088607595,0.00949367088607595,0.006329113924050633,0.189873417721519,0.14556962025316456,0.006329113924050633,0.00949367088607595,0.012658227848101266,0.12658227848101267,0.0031645569620253164,0.0031645569620253164,0.00949367088607595,0.015822784810126583,0.015822784810126583,0.11392405063291139
1,0.0031645569620253164,0.056962025316455694,0.0031645569620253164,0.006329113924050633,0.006329113924050633,0.006329113924050633,0.0031645569620253164,0.0,0.0,0.07911392405063292,0.00949367088607595,0.05379746835443038,0.0,0.0031645569620253164,0.07278481012658228,0.06962025316455696,0.07278481012658228,0.03481012658227848,0.0,0.08860759493670886,0.09177215189873418,0.006329113924050633,0.12658227848101267,0.11708860759493671,0.015822784810126583,0.006329113924050633,0.00949367088607595,0.0189873417721519,0.006329113924050633,0.022151898734177215,0.012658227848101266,0.006329113924050633,0.12341772151898735,0.0189873417721519,0.012658227848101266,0.08227848101265822,0.015822784810126583
2,0.0031645569620253164,0.0031645569620253164,0.006329113924050633,0.0031645569620253164,0.006329113924050633,0.05063291139240506,0.06645569620253164,0.0,0.022151898734177215,0.0,0.0,0.0,0.0,0.07278481012658228,0.006329113924050633,0.006329113924050633,0.012658227848101266,0.0,0.0379746835443038,0.0031645569620253164,0.0031645569620253164,0.012658227848101266,0.0031645569620253164,0.012658227848101266,0.11708860759493671,0.0189873417721519,0.0189873417721519,0.1518987341772152,0.16455696202531644,0.18670886075949367,0.0031645569620253164,0.12658227848101267,0.006329113924050633,0.0981012658227848,0.08544303797468354,0.022151898734177215,0.0189873417721519
포착군집,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0
