,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01,2021-04,2021-07,2021-10,2022-01,2022-04,2022-07
0,419.0,451.0,425.0,431.0,483.0,538.0,539.0,477.0,555.0,571.0,445.0,617.0,445.0,643.0,632.0,647.0,590.0,562.0,542.0,675.0,715.0,483.0,715.0,617.0,622.0,482.0,479.0,669.0,706.0,743.0,540.0,742.0,724.0,673.0,747.0,888.0,588.0,795.0,680.0,880.0,651.0,648.0,546.0
1,619.0,582.0,630.0,549.0,596.0,634.0,646.0,541.0,649.0,472.0,589.0,450.0,588.0,579.0,447.0,469.0,476.0,429.0,792.0,452.0,454.0,630.0,506.0,500.0,719.0,632.0,651.0,752.0,695.0,681.0,660.0,667.0,641.0,743.0,662.0,623.0,643.0,580.0,601.0,518.0,512.0,828.0,678.0
2,556.0,571.0,552.0,628.0,526.0,433.0,415.0,598.0,414.0,575.0,588.0,585.0,622.0,444.0,607.0,601.0,660.0,751.0,423.0,652.0,616.0,693.0,612.0,733.0,521.0,752.0,757.0,498.0,515.0,495.0,742.0,559.0,606.0,560.0,590.0,503.0,794.0,668.0,775.0,657.0,893.0,571.0,815.0
기업수,1594.0,1604.0,1607.0,1608.0,1605.0,1605.0,1600.0,1616.0,1618.0,1618.0,1622.0,1652.0,1655.0,1666.0,1686.0,1717.0,1726.0,1742.0,1757.0,1779.0,1785.0,1806.0,1833.0,1850.0,1862.0,1866.0,1887.0,1919.0,1916.0,1919.0,1942.0,1968.0,1971.0,1976.0,1999.0,2014.0,2025.0,2043.0,2056.0,2055.0,2056.0,2047.0,2039.0
