,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,492.0,497.0,481.0,508.0,627.0,477.0,702.0,706.0,747.0,568.0,695.0
1,489.0,646.0,472.0,673.0,378.0,650.0,716.0,457.0,723.0,763.0,771.0
2,625.0,473.0,678.0,490.0,738.0,673.0,460.0,770.0,523.0,707.0,602.0
기업수,1606.0,1616.0,1631.0,1671.0,1743.0,1800.0,1878.0,1933.0,1993.0,2038.0,2068.0
