,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01
0,0.06666666666666667,0.42105263157894735,0.5263157894736842,0.13333333333333333,0.07692307692307691,0.39999999999999997,0.0,0.16666666666666669,0.16666666666666666,0.4,0.09999999999999999,0.15789473684210525,0.3333333333333333,0.5,0.4,0.15,0.2631578947368421,0.42105263157894735,0.39999999999999997,0.45454545454545453,0.11538461538461539,0.5,0.689655172413793,0.28571428571428575,0.7586206896551724,0.17857142857142858,0.25,0.125,0.576923076923077,0.23076923076923078,0.034482758620689655,0.2,0.6666666666666666,0.7,0.7391304347826086,0.22222222222222224,0.125
1,0.5333333333333333,0.5789473684210525,0.42105263157894735,0.4666666666666667,0.4615384615384615,0.09999999999999999,0.6666666666666667,0.5000000000000001,0.25,0.4,0.6,0.631578947368421,0.5,0.1111111111111111,0.2,0.35000000000000003,0.4736842105263158,0.3684210526315789,0.15,0.40909090909090906,0.46153846153846156,0.3076923076923077,0.20689655172413793,0.6071428571428572,0.10344827586206896,0.7142857142857143,0.10714285714285714,0.09375,0.3076923076923077,0.576923076923077,0.689655172413793,0.6333333333333333,0.03333333333333333,0.26666666666666666,0.043478260869565216,0.7222222222222223,0.75
2,0.4,0.0,0.05263157894736842,0.4,0.4615384615384615,0.5,0.33333333333333337,0.33333333333333337,0.5833333333333334,0.2,0.3,0.21052631578947367,0.16666666666666666,0.3888888888888889,0.4,0.5,0.2631578947368421,0.21052631578947367,0.45,0.13636363636363635,0.4230769230769231,0.19230769230769232,0.10344827586206896,0.10714285714285716,0.13793103448275862,0.10714285714285714,0.6428571428571429,0.78125,0.11538461538461539,0.19230769230769232,0.27586206896551724,0.16666666666666666,0.30000000000000004,0.03333333333333333,0.2173913043478261,0.05555555555555556,0.125
포착군집,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
