,매출채권,판매 및 관리비,결산기간_주가변동률,영업현금흐름,차입금의존도,최대주주비율,결산기간_거래량증가,BW금액,조회공시요구카운트,최대주주비율_변동성,타법인주식및출자증권취득결정금액,최대주주변경카운트,최대주주변경을수반하는주식양수도금액,불성실공시법인지정카운트,유상증자금액,CB금액,특수관계인에대한자금대여금액,상호변경카운트,업종변경카운트,경영권분쟁소송,최대주주변경을수반하는주식담보제공금액
2012-01,0.29724510199343135,0.28157070160900466,0.13294472361801352,0.14560223422749982,0.08822337311793378,0.021721240671553635,0.005283152876123293,0.006716466357037468,0.002326134978847223,0.011462974313084266,0.0022291836851364107,0.00048107353044396956,0.0004894489324020869,0.0007730122321925712,0.0005377633079648172,0.0006789125396296396,0.0001313742084531459,1.1304522262928042e-06,0.001581997349022173,0.0,0.0
2012-04,0.2777992585634884,0.27674242005715494,0.11200148744492178,0.15181428612637282,0.07050149922798697,0.05203813281614126,0.018478878790486566,0.00784219212519835,0.006304335624662143,0.019633640224702244,0.002671488822595827,0.00035390722239462776,0.00021043681758860577,0.0006274676799561896,0.0006491817692026946,0.0006425934402927644,0.00014120672207323525,3.752253983289824e-05,0.001510063984947727,0.0,0.0
2012-07,0.2812129801895911,0.26845054634653215,0.1264455542680371,0.14908821622876242,0.06973532118350524,0.051265649121849964,0.02277281901649771,0.006080153339361708,0.004804510120153599,0.01346414322890944,0.004178374738091533,0.0007005980770108536,0.00027270354322482516,0.0005546012819089328,0.00042796703964412513,0.0003148578214246706,0.00014408683288577657,5.450117718178484e-05,3.241644542693095e-05,0.0,0.0
2012-10,0.13798089349236284,0.1283552657741267,0.08096331646943697,0.07242495660040035,0.00260129248226462,0.010496221714863191,0.554767869084887,0.006145118308921601,0.0006029773016206402,0.0012721270062773877,0.001797515302045259,0.00024116552077267867,0.0005626717626021104,0.00020721988131867475,0.00018090520175161485,0.0004098977382044597,0.00011695923867143421,0.0007618781638445974,0.00011174895562795124,0.0,0.0
2013-01,0.3042877986894431,0.27453973530472986,0.14721608406995076,0.12340807770044525,0.06294427930087629,0.04667089007874099,0.01958358989724943,0.008158649238907193,0.003679575841309973,0.003436626643618158,0.0032393997105687263,0.0008329297009504823,0.00048739059482719405,0.00045152356410404235,0.0003282307186087162,0.00029183083110851385,0.00021639109542644682,0.00017251929103037617,4.890310355537194e-05,5.5746245492964395e-06,0.0
2013-04,0.12596552620852378,0.11562351468441598,0.060182528921388305,0.15244518291366552,0.22409136139405617,0.2348793726170808,0.02827058983166817,0.021337255330378797,0.009122735830079144,0.009317112411042173,0.0035391183301029527,0.0033172258598171715,0.0005791053227110797,0.0024213412037864834,0.0037633938955378633,0.0038322448529056886,0.00015366931664500828,0.0009375477021547906,0.00014718167054429213,7.399170349565254e-05,0.0
2013-07,0.3202348891725982,0.2717597654665347,0.14335713753080775,0.11400960586913404,0.024958608116377862,0.09015944236465322,0.021202718325462413,0.005511933568442414,0.00030165766941494285,0.0015507890614161945,0.0014657490619966295,0.002025862425831235,0.0005390012527732989,0.0003690472001607068,7.137804044333201e-06,0.0015534590708571959,0.00021338788193097798,0.0004651512711909978,0.00021915026020477777,9.55066261683082e-05,0.0
2013-10,0.2959416033694875,0.28675830056459206,0.14724108086902493,0.12313879085267912,0.022040644148237344,0.09821513838516556,0.015472034849696776,0.00014620390003620726,0.0032361420330934074,0.0016349913981545333,0.0009130588657478121,0.0009831304356236724,0.00022510305059179783,0.00011066050073877668,0.0010244506190518058,0.0021409816776913494,0.00038754674951444184,0.00024012012516990992,9.354329319954785e-05,5.647431250352385e-05,0.0
2014-01,0.13577298450137565,0.1267467383669696,0.06668344565389726,0.1240300481646465,0.09083678484987558,0.10426224686728164,0.3255072653849355,8.679461969247494e-05,0.002796013057529241,0.001995972701754479,0.0022999093034952226,0.0008864106172285924,0.00011520998667140701,0.0004035377060244475,0.005706345287321579,0.011651015746477379,8.451387474603389e-05,9.433833928973674e-05,2.059705336273226e-05,1.9827917424873468e-05,0.0
2014-04,0.13737395838169875,0.13678854347117325,0.08216795741506668,0.07536778889618306,0.00571090178945401,0.01621043919425113,0.5262848912227611,5.812676232011726e-05,0.0005265720283337438,0.012448877194867229,0.0004961932201354148,0.001005448239312509,0.00042229409401187004,0.00029023912522851215,7.511265241506834e-05,0.004549960259474954,8.402758188450727e-05,2.8889758775995324e-05,6.630186075141126e-05,4.34768519006276e-05,0.0
2014-07,0.13076480334393217,0.11038242163828536,0.06562878037473871,0.14069517159111639,0.2949514559823209,0.17573796230741956,0.0013273355558641531,0.00016352574065727995,0.022984210970790047,0.01652047055945343,0.0012729134502112158,0.003225317317570498,0.0007431353111469424,0.0017032606206674485,0.0028754102325322744,0.0289934337156151,8.794109137725146e-05,0.0012325819528079427,0.0005450039871085879,0.0001648642563847385,0.0
2014-10,0.1311215284494768,0.11301830457335965,0.058962533818000526,0.14292051383301171,0.2520780559595549,0.19629274140675967,0.001156319720420494,0.00017862545237693622,0.02940361907550236,0.02521934694192595,0.0018163277314854173,0.004092194724080192,0.002371530269401237,0.0013718561107272592,0.0016903393154842259,0.03607174793796679,8.653431310938379e-05,0.0012349607759164181,0.000728182852798763,0.00017686099896513952,7.875739676108151e-06
