,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.6666666666666666,0.23076923076923075,0.6666666666666667,0.2222222222222222,0.3888888888888889,0.23076923076923075,0.10344827586206896,0.8461538461538461,0.16666666666666666,0.8125
1,0.13333333333333333,0.4615384615384615,0.25000000000000006,0.3333333333333333,0.3333333333333333,0.2692307692307692,0.7931034482758621,0.038461538461538464,0.13333333333333333,0.0625
2,0.2,0.30769230769230765,0.08333333333333334,0.4444444444444444,0.27777777777777773,0.49999999999999994,0.10344827586206896,0.11538461538461539,0.7,0.125
포착군집,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0
