,0
매출총이익,0.16208041059084824
총자본,0.14225359532767362
영업이익,0.12939201295666922
매출채권,0.10617274793162637
당기순이익,0.10589407240412449
판매 및 관리비,0.10178388739119612
영업현금흐름,0.08277048207731841
최대주주비율,0.07284048911091952
결산기간_주가변동률,0.020418807857714494
차입금의존도,0.020066475704261084
CB금액,0.017666983843476775
최대주주비율_변동성,0.010645543757283172
조회공시요구카운트,0.009319220677840363
결산기간_거래량증가,0.005168574042465132
최대주주변경카운트,0.00487561448648337
BW금액,0.002366545044531403
불성실공시법인지정카운트,0.0020633596691799726
유상증자금액,0.0013085810492211177
타법인주식및출자증권취득결정금액,0.0012552724653331153
최대주주변경을수반하는주식양수도금액,0.0009706678646437594
상호변경카운트,0.0006866557471902001
