,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.00949367088607595,0.006329113924050633,0.04746835443037975,0.0031645569620253164,0.02531645569620253,0.0189873417721519,0.09177215189873418,0.14240506329113925,0.0189873417721519,0.09177215189873418
1,0.03481012658227848,0.015822784810126583,0.012658227848101266,0.028481012658227847,0.02531645569620253,0.060126582278481014,0.012658227848101266,0.015822784810126583,0.03164556962025317,0.0031645569620253164
2,0.012658227848101266,0.0189873417721519,0.006329113924050633,0.015822784810126583,0.03164556962025317,0.012658227848101266,0.012658227848101266,0.006329113924050633,0.06962025316455696,0.02531645569620253
포착군집,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
