,매출총이익,총자본,영업이익,당기순이익,판매 및 관리비,매출채권,영업현금흐름,최대주주비율,차입금의존도,결산기간_주가변동률,BW금액+CB금액+유상증자금액,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,최대주주변경카운트,최대주주비율_변동성,상호변경카운트+업종변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액
2012-01,0.1822347741830899,0.15011696512748388,0.13621080796789276,0.10453181086230352,0.10981919570288987,0.11502605300356486,0.07197353185396231,0.056431455918638955,0.002428926663377212,0.01776829830057361,0.013036564976445885,0.017398148596294544,0.001902064257417672,0.016325017149822475,0.0006163038673055699,0.0028107832381348745,0.0008504810361042673,0.0005188172946979169
2013-01,0.18197494630456063,0.14535334094672298,0.1406791178605781,0.1092082943617132,0.10620475189439506,0.10430338024088559,0.07358416975911201,0.05949377130532033,0.019533986613018882,0.01803406331286784,0.016955086570105617,0.016061089818522147,0.0029403617974588406,0.001969654521501363,0.0015375485890417645,0.0009176228538926039,0.000733748149471004,0.0005150651008320939
2014-01,0.18359019145335073,0.16413753360285316,0.11979756296936178,0.08770442472153364,0.13186893598425253,0.13011746010895806,0.07647660481356516,0.048114424423606084,0.010014903805332449,0.023539346134871103,0.009952137926267913,0.008942815312025431,0.0018274377461192856,0.0006678944592094992,0.0006167543813238687,0.0020409094170105117,0.0004455899532750158,0.0001450727870837955
2015-01,0.16554322362022808,0.1507963613110337,0.12766295227664923,0.09364322938187986,0.11495103356967551,0.11765945846326939,0.08104479468832929,0.052111315544011966,0.01162335645942556,0.02476604473128728,0.01425983694075797,0.020717435235497166,0.004632199811114597,0.008515696538625918,0.0020931700216350263,0.00714744515572887,0.0004734037216443756,0.0023590425292062266
2016-01,0.15321624915704476,0.1422564092190677,0.11855459451083732,0.08950770329118955,0.10566687663472114,0.10290468922265535,0.08725118230618521,0.06355683908543079,0.014795078712746683,0.017396340149061173,0.0288779289402644,0.025149087704015225,0.009042718212380898,0.028710658544769122,0.0010860888313990703,0.00773760712851705,0.0016087146710462054,0.00268123367866847
2017-01,0.15286636346719426,0.1387632817274064,0.13014965571507117,0.11349563275221362,0.09789133842628878,0.10591104546851124,0.07988217983148442,0.08269500333911553,0.011453479675142453,0.0216180851562817,0.02591554541132659,0.016677203761944256,0.005962805759262484,0.012302528210114044,0.000361729141090017,0.0008830205851716743,0.0008455893722350968,0.0023255122001462495
2018-01,0.15662681139547577,0.1341585775626466,0.11792828606630701,0.09557073012649699,0.10266891955363538,0.09945037903986709,0.06968676477614803,0.09756642205643894,0.01857444593222847,0.019493822988516034,0.03398550475655416,0.010806293600505676,0.00854234060523307,0.016760508264000346,0.0009072170212472379,0.010305212998893197,0.0025765863179813974,0.004391176937824679
2019-01,0.14619971173980795,0.13439488462748234,0.11780978600013084,0.0998265677407667,0.08962878027516259,0.10590264980251457,0.07632226043864421,0.09401008931399314,0.027447295488980453,0.0210899345324067,0.03393756435042771,0.012262748061937369,0.008551107990902996,0.00777738153560395,0.0012201221140122815,0.01739861723468794,0.0029336278274783964,0.0032868709250598797
2020-01,0.16963278574744306,0.1410315361542563,0.11434203303000409,0.0860152954828272,0.11056600082828749,0.11818963883404882,0.10247026332192982,0.06828827580433583,0.01442077077907283,0.023169127357243854,0.01961181368730208,0.010042438108516025,0.004857325812249564,0.011588188894912409,0.0009972567663829078,0.001779080520606335,0.0011777711097451936,0.0018203977608361645
2021-01,0.1512411733283739,0.12941597227766427,0.13158620856958178,0.12033232371151255,0.09008427124278634,0.10381694812553498,0.09246308362658416,0.07617005060794411,0.029553524940793295,0.0212993345005324,0.03831571995494006,0.0040620995255934355,0.003026832409230167,0.0031909772235889033,0.0006343949251419613,0.0013175412278738003,0.0024336169819190166,0.001055926820405005
