,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,463.0,492.0,536.0,512.0,551.0,558.0,597.0,612.0,542.0,745.0,572.0
1,524.0,612.0,495.0,526.0,644.0,568.0,693.0,732.0,692.0,700.0,731.0
2,607.0,501.0,589.0,621.0,536.0,661.0,575.0,575.0,743.0,581.0,753.0
기업수,1594.0,1605.0,1620.0,1659.0,1731.0,1787.0,1865.0,1919.0,1977.0,2026.0,2056.0
