,BW금액/총자본,CB금액/총자본,유상증자금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본,최대주주변경을수반하는주식양수도금액/총자본,타법인주식및출자증권취득결정금액/총자본,특수관계인에대한자금대여금액/총자본,당기순이익/총자본,매출채권/총자본,매출총이익/총자본,영업이익/총자본,영업현금흐름/총자본,판매 및 관리비/총자본,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,조회공시요구카운트,최대주주변경카운트,결산기간_거래량증가,결산기간_주가변동률,차입금의존도,총자본,최대주주비율,최대주주비율_변동성
2012-01,55.92706796424774,15.383556584278422,106.2052701519369,0.0,33.266491165782604,43.52000827515452,5.225357456977993e-07,-0.04907349159916551,0.39084956015387673,0.024641951323995902,-0.031549880495014365,-0.016921201705223037,0.05615010024056088,0.0,0.10051993067590988,0.045060658578856154,0.08838821490467938,0.4662045060658579,0.12824956672443674,1.0437678219678126,1.0302014834942752,25.122192374350092,277623829.8563023,36.976344539742364,0.0014416457778468133
2012-04,98.12849862241761,25.861308897519727,58.5641372076896,0.0,29.79026107405893,65.27514668965155,1.749695142147266e-06,-0.1794609709602647,0.5848791556710558,0.04322757546486013,-0.09808309153822427,-0.04777790371022393,0.14131066696903213,0.0,0.12614678899082568,0.05045871559633028,0.0963302752293578,0.5344036697247706,0.16055045871559634,inf,1.4246493186123443,30.37260129969419,97888202.5094247,30.314874436778638,0.010790672127137009
2012-07,103.04621132845527,13.813589206177573,38.8822956477622,0.0,21.833544001599236,52.0794800758623,2.4856813422354186e-07,-0.1461892619926614,0.3928259273734142,-0.016920198377848746,-0.08339676567777847,-0.014398536820654638,0.06642816590547465,0.0,0.0876923076923077,0.05846153846153846,0.024615384615384615,0.36615384615384616,0.11846153846153847,inf,1.3344827855113812,23.505976923076922,239665079.0149231,35.98756094221085,0.002402986687445708
2012-10,112.92711992298219,13.819122289871636,43.7234876563871,0.0,28.187654137646927,75.45783695157338,4.320723334189727e-06,-0.16729273226345373,0.5685988458585792,0.05261863465817775,-0.04706436765317959,-0.023211613450576145,0.099690271137081,0.0,0.10056925996204934,0.058823529411764705,0.026565464895635674,0.41366223908918404,0.12903225806451613,inf,1.5052024031264775,28.95000790638836,78031246.90118122,31.434022293945485,0.0052474397881079795
2013-01,102.05109601654583,30.048016330385508,53.85944107769513,0.0,27.955764358311036,87.7843499855389,5.562140131339692e-06,-0.30879627649712094,0.9490367069018214,0.08285863898605994,-0.10270977490348436,-0.030596593824403735,0.18557553175715819,0.012396694214876033,0.10330578512396695,0.07231404958677685,0.026859504132231406,0.46487603305785125,0.16735537190082644,inf,2.1010496786572177,34.15235192837466,165143532.84484333,30.50484044567872,0.005690006046957356
2013-04,119.84097560328637,32.16655009427642,311.4427192900909,0.0,22.67300569533167,90.46026583702826,8.653522434505819e-07,-0.21446187597953323,0.687614576003409,0.048473407479621596,-0.07875674047770688,-0.03702070955510534,0.126979974466358,0.029545454545454545,0.12954545454545455,0.08409090909090909,0.02727272727272727,0.46136363636363636,0.2,inf,2.1946919973074865,34.82414204545455,119576907.41322728,29.416912777559315,0.007890724540627574
2013-07,30.847244347434028,41.19815828365652,48.04939413777985,0.0,19.152817013381778,35.89191615836436,1.5434966952403432e-06,-0.07749790543603986,0.40397288477949317,0.02397077766886552,-0.029479403235767757,-0.012129222766401162,0.053450180667898105,0.034420289855072464,0.07246376811594203,0.06340579710144928,0.021739130434782608,0.3695652173913043,0.15942028985507245,1.8108174435197029,2.2016951458626175,27.19437952898552,618306676.1825322,37.131457871984125,0.009349415920038474
2013-10,25.765730373025526,58.49306849850247,71.37250101683809,0.0,25.024125870290973,105.81224305693542,1.5544033820070622e-06,-0.15049969185408543,0.6478748708983276,0.03942989932140643,-0.08301138471727365,-0.019826813634523724,0.12244128504423797,0.06352459016393443,0.10655737704918032,0.05942622950819672,0.020491803278688523,0.39549180327868855,0.1987704918032787,inf,1.979592913447482,35.58225580601093,188462354.85508198,30.455270044020043,inf
2014-01,5.826746368797719,32.44914388204674,102.08367862929548,0.0,333.70590042675843,56.03789919451449,7.142200763368427e-07,-1.3277729755983754,0.7836088556386112,-0.5043732508018509,-1.1882518498287058,0.04831527471565414,0.6838785988614833,0.048824593128390596,0.06148282097649186,0.05786618444846293,0.027124773960216998,0.33273056057866185,0.10849909584086799,1.7676781982687686,2.0524706606632948,26.972635623869802,432780371.31019443,36.51047209063734,inf
2014-04,17.15810542294068,64.73526740058031,45.36451667169961,0.0,30.054610070153622,61.31417978832732,1.6678704889447664e-06,-1.5823242795808683,1.1434775982348122,-0.544193417112196,-1.3904155990901574,0.08340825641944781,0.8462221821168887,0.07974137931034483,0.07974137931034483,0.06896551724137931,0.028017241379310345,0.44612068965517243,0.14439655172413793,inf,1.5674738308501621,33.141066810344824,142778353.66001076,30.754982733110484,0.008001969923628203
2014-07,9.836751397986072,47.86813194090327,41.05781714440122,0.0,20.692881624072815,53.34760212612844,1.5912945816525544e-06,-0.08900281852148578,0.4569842704582109,0.008903717140581534,-0.04996971149814688,-0.013244420385149665,0.05887342904776109,0.028112449799196786,0.07630522088353414,0.06626506024096386,0.04216867469879518,0.39959839357429716,0.13654618473895583,1.9746192363521875,1.6740131894801953,25.694553212851407,385427201.122746,36.75155864848621,inf
