,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,영업현금흐름/총자본,총자본,최대주주비율,차입금의존도,매출총이익/총자본,매출채권/총자본,BW금액/총자본,조회공시요구카운트,결산기간_주가변동률,유상증자금액/총자본,최대주주비율_변동성,결산기간_거래량증가,최대주주변경카운트,타법인주식및출자증권취득결정금액/총자본,불성실공시법인지정카운트,CB금액/총자본,상호변경카운트,최대주주변경을수반하는주식양수도금액/총자본,업종변경카운트,경영권분쟁소송,특수관계인에대한자금대여금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본
2012-01,0.20872242535966234,0.240975674598365,0.05915265561575266,0.08297380504307796,0.03316550008893864,0.012317883808477733,0.04672575962902129,0.2271456700399348,0.060954701422496156,0.0055210005314390905,0.003383681321081616,0.00759816055124195,0.000794692639763524,0.004113050752255499,0.002677235005904163,0.0010267315181769526,9.935881640274665e-06,0.0010176540447215997,0.0006084199612385989,2.5385811340976837e-05,0.0004877643360490068,0.0005857729222636096,0.0,1.6439117156576706e-05,0.0
2012-04,0.2120292997862673,0.19999637716999447,0.1097955403131387,0.08247830141906516,0.09739682950059207,0.07457494753751276,0.04629334576332412,0.08161372452455139,0.034708405106038696,0.013410466635875265,0.01115274412997463,0.008173794936467986,0.0033416441266257086,0.01791895907514141,0.00016488878042592814,0.0020943351372013433,0.0005537712194403412,0.0022700832314495115,0.0009167894152449067,7.711533792085818e-05,0.0003646147877383192,0.0006725290507992713,0.0,1.493015209864567e-06,0.0
2012-07,0.16726058103762115,0.22322984528836246,0.040768328859218876,0.08823249339412628,0.08314960232925692,0.024556116474413386,0.020037121961016317,0.2096041313879108,0.05378610308125712,0.005006108948565314,0.002421969390750566,0.06298033476865143,0.0005467745706143447,0.006777251974575814,0.009263563801116237,0.0006225632344396595,0.0001943582498061553,0.0008856871153450055,4.02013033093859e-05,0.0002776121355112068,0.0002516461875138754,6.702999082074207e-05,0.0,4.0574515796886236e-05,0.0
2012-10,0.23749169448552865,0.23576867979549032,0.008335704880364772,0.10038242925095549,0.14184752645154364,0.06220554290459156,0.03542318140397747,0.06592411923413302,0.013500675304680573,0.011712131531877973,0.005027035156792518,0.06683117145462732,0.0016206947403482885,0.004632606970696549,0.005147510157699137,0.0008383937540644274,0.0009731856477927033,0.00122966699126862,0.00035094145035484924,0.0002393861463981833,0.00037703674600405484,9.79044506470129e-05,0.0,4.278109016295895e-05,0.0
2013-01,0.2256197226462126,0.20177133674215977,0.11299872621190415,0.08129006891701432,0.07699079153084322,0.07503014211024542,0.07139427061249569,0.07090473145579308,0.04589926146747537,0.010024958169889095,0.006873428572483969,0.004931508624008943,0.003584987279378269,0.0029064484993442793,0.002751361822493941,0.002107043598889821,0.001878958337331114,0.0013570811637831119,0.0006041145554338122,0.0005816089087902923,0.0004100921143205873,7.268646434136895e-05,1.1958577646982437e-05,4.711617720795423e-06,0.0
2013-04,0.21077304000374433,0.2014488236000727,0.10317075168218497,0.09823478345351298,0.08633633741308801,0.07991672371645298,0.06544287533848125,0.0717578015892419,0.04165265497165361,0.011694227369546124,0.006407779744749374,0.006477031602859314,0.003453539009008473,0.0015193065700456819,0.001117687721241137,0.002500741904899906,0.0013340857080094805,0.001975231380662619,0.003083827215607403,0.0011230769422989242,0.0004341371368901911,8.237934288885035e-05,6.290789172254284e-05,2.4869113739241155e-07,0.0
2013-07,0.15916041687943558,0.20019348172518434,0.11645367081448504,0.0903527189909811,0.02126820841128343,0.013289349687916138,0.030209473472813983,0.29901446839548357,0.05456080495585589,0.0015995094035915311,0.003833158616034836,0.0018797910810881653,0.0010295830842428685,0.0022718871727580962,0.0003004063119821078,0.0018095693946729198,0.00013694234723501034,0.0003821653994713454,0.001640921506783387,0.0003132809060944958,0.00023835441180683714,1.0137877594566126e-05,3.649870127403029e-05,1.5200451930635403e-05,0.0
2013-10,0.22074310084676552,0.19632958644354398,0.10802333587882743,0.074760831469774,0.0793042960814955,0.07314468548172684,0.08686772937014356,0.07124949371755313,0.054337770483823496,0.00035067699771396224,0.004310145380515567,0.006085504869258457,0.004776930250564953,0.004978867357227501,0.0006704108432595948,0.0024788885064967207,0.0018732427437332068,0.0014482539937011173,0.007689628915498093,0.0002512326437326972,0.00017758254420837,8.699646192616545e-06,0.00012620012283249643,1.2905411411242372e-05,0.0
2014-01,0.16227247301140335,0.21152100387006784,0.10715955114055976,0.08759069952147502,0.028010036008007236,0.017999921070829584,0.026396614940021133,0.2923157919380649,0.0519955278954963,4.3691305590740916e-05,0.002887041932333938,0.003311676555555424,0.0013487206968843114,0.0022206520151402103,0.0014621612756524445,0.0002581665859433008,0.00017134054309638955,0.00019829349337230042,0.0024209800397872886,0.0002886262628404077,3.454476179322734e-06,8.524200687334717e-05,3.529884388735483e-05,3.0345709381068616e-06,0.0
2014-04,0.21944666968671633,0.21600362460262626,0.09758418014218903,0.1033028201450105,0.08537947636373587,0.0663975262365522,0.05991700165266485,0.07850524500360066,0.033477992642226104,0.0001610020030822917,0.007796033897060667,0.009687627840866271,0.0018901607035618029,0.003415943054998761,0.0022078548167000804,0.00084949204415895,0.0017672770723501376,0.0007836358891845015,0.01041708727275271,0.00038736677858000677,0.0004711653098724736,4.53570047249839e-05,9.977263211610358e-05,5.687204668517864e-06,0.0
