,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01,2021-04,2021-07,2021-10,2022-01,2022-04,2022-07
0,482.0,557.0,501.0,497.0,599.0,440.0,552.0,588.0,430.0,464.0,456.0,588.0,600.0,572.0,591.0,642.0,669.0,605.0,559.0,646.0,467.0,791.0,715.0,467.0,521.0,802.0,473.0,751.0,597.0,680.0,543.0,740.0,766.0,749.0,665.0,764.0,647.0,588.0,676.0,671.0,675.0,791.0,681.0
1,535.0,611.0,650.0,584.0,522.0,524.0,429.0,540.0,635.0,585.0,498.0,610.0,601.0,455.0,648.0,476.0,587.0,678.0,431.0,667.0,608.0,560.0,615.0,576.0,607.0,609.0,762.0,663.0,844.0,500.0,663.0,655.0,667.0,551.0,578.0,634.0,589.0,794.0,770.0,789.0,606.0,641.0,513.0
2,577.0,436.0,456.0,527.0,484.0,641.0,619.0,488.0,553.0,569.0,668.0,454.0,454.0,639.0,447.0,599.0,470.0,459.0,767.0,466.0,710.0,455.0,503.0,807.0,734.0,455.0,652.0,505.0,475.0,739.0,736.0,573.0,538.0,676.0,756.0,616.0,789.0,661.0,610.0,595.0,775.0,615.0,845.0
기업수,1594.0,1604.0,1607.0,1608.0,1605.0,1605.0,1600.0,1616.0,1618.0,1618.0,1622.0,1652.0,1655.0,1666.0,1686.0,1717.0,1726.0,1742.0,1757.0,1779.0,1785.0,1806.0,1833.0,1850.0,1862.0,1866.0,1887.0,1919.0,1916.0,1919.0,1942.0,1968.0,1971.0,1976.0,1999.0,2014.0,2025.0,2043.0,2056.0,2055.0,2056.0,2047.0,2039.0
