,최대주주비율_변동성,결산기간_거래량증가,결산기간_주가변동률,매출채권,판매 및 관리비,차입금의존도,당기순이익,총자본,최대주주비율,영업이익,BW금액,조회공시요구카운트,매출총이익,유상증자금액,타법인주식및출자증권취득결정금액,불성실공시법인지정카운트,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,CB금액,영업현금흐름,상호변경카운트,경영권분쟁소송,특수관계인에대한자금대여금액,업종변경카운트,최대주주변경을수반하는주식담보제공금액
2012-01,0.576603126527134,0.19425163910423782,0.0011306731712923612,0.003073030126442593,0.022109350271311418,0.028325666385626457,0.0018013142106530818,0.0006993336640057058,0.07394751671220001,0.00020472525979963984,0.018310111456847394,0.04421019775003127,0.00895115904848138,0.009773301634524507,0.003031230977345057,0.0025091698829499023,0.00157637579679794,0.0030426391372763008,0.0037033615751745487,0.0012557485126528441,0.0008062104398170029,0.0,1.707764143294812e-05,0.0006670407139659726,0.0
2013-01,0.3793062060606869,0.18154665873819661,0.11822426695068525,0.07940743488977678,0.07590725081084329,0.049829830206586795,0.024268880893305766,0.021582935789861587,0.014367200169563912,0.013819777178150161,0.011795316696705478,0.010280528150221784,0.0055061294094591925,0.005222503968739888,0.0027503258457391784,0.002326454695579162,0.0015872532778094736,0.0013315312164481103,0.0005959720728664384,0.00017972468674045636,0.00010672655298475969,3.2406358022382724e-05,2.3230873383251225e-05,1.454507643560508e-06,0.0
2014-01,0.07193532554937494,0.06510640843000702,0.016755843332753012,0.050305000304454825,0.047608352438617774,0.37359833077117127,0.058532032509954056,0.0008514469071968444,0.2134047705197057,0.02381498429871628,0.00039090116257724505,0.01044584945390552,0.0006861618186998612,0.008698224618013917,0.007345189523736148,0.0009971803618334697,0.00020738806533656518,0.0009313929724238368,0.04273211178884376,0.005214977858707808,0.00011076953740917894,0.00011351672132209144,4.6901603980079604e-05,0.0001669394512588326,0.0
2015-01,0.4269153398262891,0.037209690681770935,0.02268151321565041,0.01134638918201087,0.010464632679518547,0.04669247431467081,0.013151736373759495,0.0037398852494405594,0.07540763865699554,0.008993464246170218,3.708350987162359e-06,0.03617638766273904,0.007889808362006007,0.003617891305749772,0.01617509368946138,0.012773988162225507,0.030809397938206896,0.042193533327094385,0.1768795920045811,0.011171832613217256,0.0034392288582828063,0.0003462843668442099,2.3456149249814036e-05,0.0009502733602277131,0.0009467594228504652
2016-01,0.05584234083319985,0.2019329018872078,0.001961055735327763,0.0060377781911495265,0.016142420578935487,0.10703011091074548,0.023051111435107838,0.0021731936312643194,0.11560936431696725,0.011925438420050276,0.0017839510084666746,0.030314710394066226,1.7466051472784685e-05,0.008376533496339716,0.050133647817264704,0.019126881005527667,0.019415119868440783,0.08948848140954876,0.2071183092328952,0.009371254622736535,0.010096568058965496,0.003159946531616575,1.2810532476214747e-05,2.429640075962342e-05,0.00985430762946744
2017-01,0.05226695285696659,0.029463637279921125,0.000431450408933044,0.009839770977754615,0.0072126785192299465,0.17200038020745848,0.03314754670560866,4.654832611869947e-05,0.12865882934648248,0.012131277038851775,0.00010613471248231964,0.04459468072419105,0.0045230831886867405,0.002041886716345122,0.07241055616319639,0.024955855852284846,0.007273143941269386,0.0790689478383477,0.26850312006391697,0.02052255830727595,0.006422268881777977,0.005263277402537582,0.0,0.0015268174223424377,0.01758859711802018
2018-01,0.17508322209448457,0.06698283694569707,0.0005764322419404113,0.016070145303650085,0.025187834118761604,0.08624505371907236,0.014490893410595012,0.00891114982193218,0.05299504248377899,0.005067987332064072,0.002801146543716755,0.018933511837857405,0.0025482967877528957,0.0024082968132356133,0.06084927035941395,0.03310021085476909,0.017716921524319976,0.07774015403635459,0.299272504722683,0.009605727385344244,0.0077936634247905475,0.004236427552842465,0.0,0.0005107888679838423,0.010872481816959363
2019-01,0.06629268914831024,0.011112762057700473,0.0015222682845635381,0.01079069564134603,0.011146747414337108,0.17996685403983484,0.017483773365194983,0.00017130397897272147,0.07615399490500542,0.004494783765504182,0.0022185281761037943,0.026777205289595322,0.0019567750816570084,0.008905711429940608,0.06672148039641533,0.03448710242788248,0.015926894078444435,0.0896455750882747,0.3458451053570264,0.005197998577067839,0.010483835123397253,0.0005603596195781943,0.0,0.0001766583835070607,0.011960898370340109
2020-01,0.025320049526181915,0.2773541458107663,0.005212712521879663,0.012488764357551753,0.04616391868035719,0.212654965367338,0.0889570121618116,0.0024813053410129185,0.10986214476012894,0.04351945037076086,0.000211892201445899,0.0007816090707585335,0.0008615562131500644,0.011975761468916898,0.02120595626448802,0.014080249218804575,0.0006613195591258707,0.014995236335637912,0.09085535650574658,0.007244498765585978,0.007147057022457221,0.0020626504714362456,3.476973882277111e-05,0.0005721657862442316,0.0032954524795900685
2021-01,0.21793888338116987,0.020724688005938047,0.015471799372500922,0.02681956353411356,0.06306919000026599,0.18914464920180146,0.08514065001394489,0.011201967795066513,0.07744345288497353,0.04494849618701112,2.1990810905661116e-05,0.0033325511475902608,0.00045177276493816004,0.01398169659289798,0.03748129761570737,0.012505188963084949,3.798219510702606e-05,0.014472658080391318,0.1417868860782595,0.017307350334809755,0.0011849810932546183,0.0017488544962689818,1.3728657840837693e-05,4.897194981956984e-05,0.003720748842338118
