,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.7547169811320755,0.8285714285714286,0.046511627906976744,0.11904761904761904,0.06976744186046512,0.038461538461538464,0.12790697674418602,0.9213483146067416,0.10112359550561797,0.8787878787878788
1,0.05660377358490566,0.08571428571428572,0.16279069767441862,0.023809523809523808,0.023255813953488372,0.8076923076923077,0.04651162790697674,0.0,0.011235955056179775,0.030303030303030304
2,0.18867924528301888,0.08571428571428572,0.7906976744186046,0.8571428571428571,0.9069767441860465,0.15384615384615385,0.8255813953488371,0.07865168539325844,0.8876404494382023,0.09090909090909091
포착군집,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0
