,매출총이익,총자본,매출채권,판매 및 관리비,영업이익,당기순이익,영업현금흐름,최대주주비율,결산기간_주가변동률,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트
2012-01,0.18945680852331348,0.16349989299851214,0.13182675969783564,0.12661246963059886,0.12954969268975053,0.09455934180588278,0.07130503461206317,0.049035149798967836,0.02408328562599073,0.020071564617084783
2013-01,0.19315894227670732,0.1746316505632715,0.15767483508893324,0.14939123055569822,0.1124521049998736,0.070882173439696,0.06102777335096354,0.04077756255741446,0.029567041532486113,0.01043668563495593
2014-01,0.19390820694219726,0.16934387082734167,0.14158195577101307,0.150091854892789,0.11673355875076286,0.08145888399133934,0.07400924438791912,0.0391392917243611,0.025644960054920157,0.00808817265735638
2015-01,0.17897852459201882,0.15412976143742982,0.13774894202811036,0.13229796809284064,0.12680323592619694,0.08823216934221352,0.07828804681049935,0.04461450579034718,0.025451418338286843,0.033455427642056605
2016-01,0.178245675359793,0.15281075465661761,0.12635792531812637,0.13107749990477188,0.1253808343864227,0.0863421094094169,0.09826923115547367,0.05292693180460809,0.021178656535527637,0.027410381469242084
2017-01,0.17383780493680104,0.1520505045812385,0.1276516523554853,0.11929578059835488,0.1382176755756099,0.11104256016071207,0.08143010212701658,0.05482729433645046,0.02388162798188992,0.017764997346441234
2018-01,0.17819287213231869,0.14656479958517243,0.12226240360390919,0.12139648621538882,0.1235877187931137,0.09546425506785665,0.06996361196733802,0.09700892773440443,0.0230232008601612,0.022535724040336862
2019-01,0.1788772329822157,0.151564720729494,0.13767064424433503,0.12331467811988936,0.12304132555184163,0.09018507687222882,0.08326785320118055,0.0678900697164567,0.0271024426699078,0.017085955912450424
2020-01,0.17394778894109775,0.15741150443867402,0.13757679905114054,0.12855151033513287,0.10799481957617584,0.07501334784058036,0.10098096047644052,0.07167301354688808,0.02865984341966429,0.018190412374205756
2021-01,0.1776235092052268,0.14867990948794474,0.1332149498625994,0.11730229467835049,0.1309228537441604,0.10874637196504214,0.08528219405144194,0.06098187445763552,0.02748015492189132,0.00976588762570723
