,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,영업현금흐름/총자본,총자본,차입금의존도,매출총이익/총자본,최대주주비율,매출채권/총자본,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액/총자본,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,결산기간_주가변동률,결산기간_거래량증가,최대주주비율_변동성
2012-01,0.21235114544941083,0.18337045835240673,0.10553361071043181,0.06664228420414266,0.11619182977221562,0.04937254713761069,0.07374988152343473,0.0800937882036511,0.0290152842119749,0.033049597304156283,0.022297162472449047,0.01074762284642367,0.0009519294371143198,0.016632858374577716
2012-04,0.15804608702725687,0.20591089690057457,0.09606683158650137,0.0881679024239444,0.018760684747762876,0.03973640031646398,0.27302994847255635,0.008609319216216117,0.0922880230719769,0.0072460478262649656,0.0028702635411026467,0.0061182412937724855,0.001609772604104857,0.0015395809715016983
2012-07,0.16826759943264105,0.21954964680307953,0.03203892869615568,0.08230212128055217,0.09382514427624175,0.024415906961927476,0.19200940287148877,0.025337673218003683,0.06375040799767348,0.005105754096436043,0.004646850951964364,0.06899239871118416,0.012222825439328984,0.007535339263323087
2012-10,0.21025375313700734,0.1868940026006638,0.11968147056756481,0.08371835990045134,0.0797050458223926,0.06322899578906967,0.06895336283192192,0.07798744188166726,0.03960824205634724,0.04205815960464294,0.01645871796221274,0.005347934332247596,0.0005291396373156197,0.005575373876495069
2013-01,0.22182313652476143,0.19461459037609927,0.10872522240975102,0.08092860960693239,0.07458305932201724,0.07190099100111526,0.06957755087267459,0.0684507917966084,0.04968949001067088,0.0311961484158724,0.01881849882764507,0.004648961470763756,0.0027873225773811564,0.002255626787707194
2013-04,0.21057664421171735,0.1987826595151612,0.09432259909040501,0.09473420540398993,0.07220721427565897,0.07336984107797263,0.07216735385801137,0.07177578832394178,0.042801632029472986,0.038882771423678124,0.02189745249291483,0.005089542774318597,0.0015160828645194666,0.0018762126582377726
2013-07,0.21133472114413238,0.20713795850118857,0.0934330207764466,0.09120016248150242,0.06730875237484532,0.07222207538603423,0.08006995813020258,0.06665214393954548,0.04467960844002703,0.03760518134256266,0.01787009238782261,0.0035514973142882094,0.002453885790989453,0.0044809419904124825
2013-10,0.21528745656768883,0.1967974203153436,0.09544352016935188,0.07511524593779431,0.07919113896905253,0.0863816728678575,0.07378843917046243,0.07754226143525939,0.047877809561676817,0.029007747763505027,0.013223058417607986,0.005818692383449689,0.0007172530740523876,0.003808283366897616
2014-01,0.16081040484570253,0.2112653968381635,0.10852744508502711,0.08858650162642626,0.025861909955508914,0.02616048001981717,0.2927870036861533,0.019123994391697274,0.05028260992064945,0.00523308089626362,0.004658380446376708,0.002667034092727756,0.0019144824293529138,0.0021212757661335994
2014-04,0.21060597004789805,0.20352290347305468,0.09175994026347482,0.09816904694256952,0.08485936978408724,0.06779943766872382,0.0764829060864072,0.07288146481993596,0.033946560984379856,0.028035436409353087,0.01725625398668292,0.009793043524570796,0.00134956106726376,0.0035381049415981517
2014-07,0.14577156632236565,0.1851122775742827,0.128064371186111,0.07558945831359926,0.03727674450360294,0.020214313308145465,0.3002229672169875,0.015011718858489748,0.07018874489145205,0.004046595035644631,0.007418804334308314,0.006635206355334939,0.0027952607881136975,0.001651971311562115
2014-10,0.20401037957701662,0.20326474306190745,0.08547519899089336,0.09331211616205583,0.08890985093241527,0.05829962933352806,0.07414350974857636,0.07185100352338342,0.035991825871881836,0.03686179085357576,0.03331655703167019,0.005329017957677025,0.0032614466938460053,0.005972930261572748
2015-01,0.22365205027749235,0.23812485651412535,0.0046937421257506095,0.09774853011284838,0.14528751833005357,0.031400510292268966,0.05883959428405114,0.058001037398654615,0.0017054337445843886,0.029061736928155134,0.03236849157520759,0.06657747766693123,0.0005985570028278699,0.011940463747048918
2015-04,0.17325039943796727,0.1908415931670489,0.09000805406211247,0.09506846345817235,0.10912148196061541,0.04943004672455346,0.07271485129571151,0.08421598587658838,0.02778876676314242,0.04817764979246371,0.040025572217171956,0.013032167614100029,0.0003108143297530109,0.006014153300599139
2015-07,0.13405968325381992,0.18526850267066194,0.1135390410231123,0.072317161300703,0.04580912683977075,0.03344767717216564,0.26990703205271055,0.016870333673132013,0.08759883447339221,0.01222962744627064,0.01602298044368266,0.007177159122491137,0.0025019273158547028,0.0032509132122325755
2015-10,0.1753528297782529,0.1684245483152014,0.08093736345248724,0.07861908593680522,0.12886046754111313,0.0482241914657095,0.06906792726993947,0.08641651283882838,0.027989834283235735,0.05956977662401715,0.037408488166974195,0.015574162969804881,0.003281456958132348,0.020273354399498487
2016-01,0.17468484285358513,0.16204385374933625,0.0822434593326248,0.08758144435040895,0.1230762852252951,0.05219265239145009,0.06281459835977457,0.08236620338540537,0.03391279928416414,0.06941096852771794,0.029132137272235667,0.014431130494423208,0.0026672514132212964,0.02344237336035758
2016-04,0.1776953775400231,0.17650027607956717,0.06808769225148137,0.11199752703292848,0.11361418647636286,0.03630530999343837,0.07059209660306702,0.09520068976846031,0.025550522026187013,0.06000117062541627,0.027399543169198445,0.022024448567115686,0.0027951151597518974,0.012236044707001827
2016-07,0.1890935274826226,0.16864449876173124,0.08594574864528172,0.09939031454139656,0.11564635779990713,0.039877350501564233,0.0594855353416026,0.08759128842675994,0.02346360121807184,0.0637244555096358,0.029900520592310898,0.021202330767561776,0.0029099762947584493,0.01312449411679539
