,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01,2021-04,2021-07,2021-10,2022-01,2022-04,2022-07
0,417.0,600.0,630.0,543.0,485.0,446.0,622.0,484.0,560.0,441.0,674.0,459.0,575.0,465.0,438.0,588.0,590.0,466.0,672.0,662.0,716.0,472.0,613.0,500.0,655.0,493.0,488.0,500.0,682.0,500.0,667.0,567.0,759.0,472.0,666.0,769.0,628.0,646.0,679.0,795.0,598.0,833.0,847.0
1,560.0,442.0,521.0,631.0,596.0,632.0,450.0,534.0,625.0,583.0,454.0,615.0,574.0,629.0,699.0,453.0,670.0,661.0,636.0,471.0,452.0,713.0,703.0,613.0,583.0,632.0,747.0,664.0,714.0,687.0,747.0,657.0,540.0,905.0,583.0,603.0,735.0,512.0,599.0,582.0,678.0,556.0,675.0
2,617.0,562.0,456.0,434.0,524.0,527.0,528.0,598.0,433.0,594.0,494.0,578.0,506.0,572.0,549.0,676.0,466.0,615.0,449.0,646.0,617.0,621.0,517.0,737.0,624.0,741.0,652.0,755.0,520.0,732.0,528.0,744.0,672.0,599.0,750.0,642.0,662.0,885.0,778.0,678.0,780.0,658.0,517.0
기업수,1594.0,1604.0,1607.0,1608.0,1605.0,1605.0,1600.0,1616.0,1618.0,1618.0,1622.0,1652.0,1655.0,1666.0,1686.0,1717.0,1726.0,1742.0,1757.0,1779.0,1785.0,1806.0,1833.0,1850.0,1862.0,1866.0,1887.0,1919.0,1916.0,1919.0,1942.0,1968.0,1971.0,1976.0,1999.0,2014.0,2025.0,2043.0,2056.0,2055.0,2056.0,2047.0,2039.0
