,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.5094339622641509,0.6285714285714286,0.09302325581395349,0.11904761904761904,0.09302325581395349,0.17307692307692307,0.27906976744186046,0.651685393258427,0.5057471264367815,0.3076923076923077
1,0.16981132075471697,0.3142857142857143,0.32558139534883723,0.5714285714285714,0.09302325581395349,0.4423076923076923,0.06976744186046512,0.24719101123595508,0.4022988505747126,0.4153846153846154
2,0.32075471698113206,0.05714285714285714,0.5813953488372093,0.30952380952380953,0.813953488372093,0.38461538461538464,0.6511627906976745,0.10112359550561799,0.09195402298850575,0.27692307692307694
포착군집,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0
