,당기순이익/총자본,영업이익/총자본,BW금액_전체시장+CB금액_전체시장+유상증자금액_전체시장/총자본,최대주주비율,거래량회전율,매출총이익/총자본,영업현금흐름/총자본,경영권분쟁소송_전체시장+최대주주변경카운트_전체시장+상호변경카운트_전체시장+업종변경카운트_전체시장+불성실공시법인지정카운트_전체시장+조회공시요구카운트_전체시장,판매 및 관리비/총자본,타법인주식및출자증권취득결정자기자본대비_전체시장+차입금의존도,자기주식처분결정금액_전체시장+특수관계인에대한자금대여금액_전체시장+최대주주변경을수반하는주식담보제공금액_전체시장+최대주주변경을수반하는주식양수도금액_전체시장/총자본,매출채권/총자본
2012-01,0.6012869624428575,0.5736282159245882,0.24900554913336578,0.22526319180141452,0.2195152785174309,0.21396252526502255,0.19858028663501018,0.185147796264914,0.1662575283432161,0.15284245946255778,0.15051515094281975,0.06399505526680316
2012-04,0.570161248070349,0.550154715644113,0.242326405864298,0.23065274344763542,0.2183481716760497,0.20550211355466,0.24590667979037176,0.19169842985158478,0.1695261964004846,0.1591532812464346,0.14044001406295964,0.07613000039105947
2012-07,0.5634848709708011,0.49678325142816404,0.24782561779492138,0.21142715842666565,0.23553365685803612,0.15769804683428612,0.2092824990646606,0.1804831117320466,0.27685657395571045,0.18764548361696703,0.12671612428342877,0.10626360503431184
2012-10,0.6057883927923946,0.6067367224785688,0.2316188787585246,0.19611586752559723,0.19859341132986055,0.20158752062988267,0.24215059879499443,0.1843438909577582,0.17175258873283725,0.15169570558683457,0.13698131405821443,0.07263510835453253
2013-01,0.5969937874474703,0.5587020552907728,0.2021347143709283,0.21723662006899375,0.20083240897150242,0.15189980131901248,0.21342805178768126,0.18678305013696914,0.25250088505193535,0.18204567625427268,0.13576041906163042,0.10168253023883064
2013-04,0.542084931977786,0.5215520962565011,0.2597897861039214,0.1996246269069677,0.17151534096383877,0.166434004189063,0.21838358194620114,0.20939719282738878,0.2584723649119543,0.20389939575824692,0.14206219121149904,0.1067844869466317
2013-07,0.5736565110909576,0.6100251857446088,0.2789152931168289,0.17139154519361263,0.14502423120149568,0.2540569723949124,0.2525634207158489,0.2206855417433374,0.13849217898988936,0.12395061568262124,0.17222373606029842,0.05901476806558896
2013-10,0.5870936287076833,0.5874638819649858,0.26581116496223345,0.21024051821635947,0.1422513927611987,0.2064116485665776,0.2359654781543653,0.20066199939646812,0.1504650708704891,0.16563425401255807,0.16917375320442324,0.07882720918265837
2014-01,0.5834012305762841,0.5557908876773606,0.2484624714612259,0.23183147118164404,0.15685531932428587,0.17023599990953175,0.20113738874002468,0.20248848212195578,0.2111888820697483,0.20293387960741893,0.15026105666923478,0.08541293066128507
2014-04,0.5252864017478412,0.5106473124784626,0.25540518542571666,0.23962195309218265,0.1936758789789159,0.19655571596836086,0.23675243180827865,0.19972582496381636,0.20436603960986083,0.20271906447991428,0.1333419793400516,0.10190221210659842
2014-07,0.5108336765585378,0.5372617342214016,0.25462450518924795,0.22896973309601437,0.2005337414082161,0.18802989684143961,0.2744429964203192,0.24619388493871386,0.18437760707088896,0.14543043847290796,0.1350681421223623,0.09423364365995009
2014-10,0.2726590613542966,0.37311393394322584,0.32488845871524075,0.08652032115549657,0.11867952603459869,0.5597892381983169,0.1535270964238606,0.30196796511140306,0.26102601766677114,0.061606296253337425,0.25214207194193056,0.2340800132015218
2015-01,0.5290393413311199,0.5577928743593292,0.2525896200520916,0.2460392802734249,0.19306212538157652,0.18545325302345356,0.2558872259044116,0.22203695697827397,0.19348072680965012,0.1650026601421332,0.12878446516008268,0.07083147058445242
2015-04,0.4522369593920952,0.4827754345041672,0.3022538686730438,0.26665069599409064,0.23169567902564808,0.16710790416777938,0.2640308832396714,0.23727010770692022,0.21208003505449088,0.1515358613780582,0.1390725460907049,0.09329002477332977
2015-07,0.5176475167507107,0.5284901442113599,0.2665428280117483,0.2543122744807178,0.23042766304476658,0.16743561828417103,0.21929237919178304,0.19981198558939273,0.18738309247833623,0.20871964471923912,0.12570187082368178,0.09423498241409278
2015-10,0.5214147085722877,0.47446735068485124,0.3025472963483361,0.2411504528161148,0.2558161304739659,0.14088466839520805,0.2134621312394497,0.22552239566319449,0.17382457622884695,0.2212609195731321,0.12521951142084445,0.10442985858376877
2016-01,0.5187782744093483,0.47709583321679183,0.29208131381125735,0.2638376298401336,0.252515439403048,0.15268640783316423,0.25396519135295365,0.2062024991480011,0.17501128509746414,0.18562267486082873,0.13451752456773766,0.08768592645927134
2016-04,0.2616713902988463,0.3391988221406984,0.25689084330632866,0.09932464834371078,0.18460833535741694,0.7078426653582364,0.22583366102033806,0.24218929325027216,0.3298883438508613,0.025323079906438124,0.12326162848166963,0.20396728868518324
2016-07,0.2970147239342439,0.3478554930770851,0.27123258022591723,0.1478052979967106,0.19428773278059863,0.6913699464401801,0.18748098599036087,0.2140701361033845,0.3002117876490363,0.03213718606787541,0.13080187392370116,0.18573225581090635
2016-10,0.26027806131080644,0.30071880342797774,0.24794152444085488,0.11056342385686967,0.17987609416645886,0.5988498831434331,0.14486347729032006,0.2023722573342006,0.3660584836137001,0.07162090805229224,0.16059382069637618,0.3562632626667105
2017-01,0.5847997976482723,0.5300597267575289,0.2767856639963695,0.27848404387798015,0.22660267396606554,0.1668396489577315,0.25697698734901586,0.1993403719941439,0.20577418438293324,0.07454994880073944,0.1468839414702244,0.05290301079899522
