,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.0,0.0,0.045454545454545456,0.06249999999999999,0.07142857142857142,0.22580645161290325,0.7954545454545454,0.5789473684210525,0.047619047619047616,0.19148936170212766
1,0.7777777777777778,0.8666666666666667,0.8181818181818182,0.8749999999999999,0.10714285714285715,0.7741935483870969,0.045454545454545456,0.03508771929824561,0.9047619047619047,0.04255319148936171
2,0.22222222222222224,0.13333333333333333,0.13636363636363638,0.06249999999999999,0.8214285714285714,0.0,0.1590909090909091,0.3859649122807017,0.047619047619047616,0.7659574468085106
포착군집,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0
