,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,408.0,396.0,633.0,673.0,690.0,430.0,512.0,712.0,668.0,654.0,1074.0
1,796.0,797.0,495.0,483.0,538.0,783.0,722.0,800.0,608.0,706.0,498.0
2,402.0,423.0,503.0,515.0,515.0,587.0,644.0,421.0,717.0,678.0,496.0
기업수,1606.0,1616.0,1631.0,1671.0,1743.0,1800.0,1878.0,1933.0,1993.0,2038.0,2068.0
