,매출채권,판매 및 관리비,결산기간_주가변동률,영업현금흐름,차입금의존도,최대주주비율,결산기간_거래량증가,BW금액,조회공시요구카운트,최대주주비율_변동성,타법인주식및출자증권취득결정금액,최대주주변경카운트,최대주주변경을수반하는주식양수도금액,불성실공시법인지정카운트,유상증자금액,CB금액,특수관계인에대한자금대여금액,상호변경카운트,업종변경카운트,경영권분쟁소송,최대주주변경을수반하는주식담보제공금액
2012-01,0.2972451019934313,0.28157070160900466,0.13294472361801357,0.14560223422749985,0.08822337311793378,0.021721240671553635,0.005283152876123292,0.006716466357037469,0.002326134978847223,0.011462974313084266,0.0022291836851364103,0.00048107353044396956,0.000489448932402087,0.0007730122321925713,0.0005377633079648172,0.0006789125396296397,0.0001313742084531459,1.1304522262928044e-06,0.001581997349022173,0.0,0.0
2013-01,0.3042877986894431,0.27453973530472986,0.14721608406995076,0.12340807770044525,0.06294427930087629,0.04667089007874099,0.01958358989724943,0.008158649238907193,0.003679575841309973,0.003436626643618151,0.0032393997105687263,0.0008329297009504823,0.00048739059482719405,0.00045152356410404235,0.0003282307186087162,0.00029183083110851385,0.00021639109542644682,0.00017251929103037617,4.890310355537194e-05,5.5746245492964395e-06,0.0
2014-01,0.1278851218633257,0.11482830333936127,0.0703286080137022,0.1385538204980921,0.3319263572032045,0.15067452771815856,0.001772867990050184,0.00039070200471938345,0.010826446396912416,0.02235831421324594,0.002204510534993755,0.0024664727304444696,0.0002892474908516285,0.001671699350088698,0.0036761123693705815,0.019110425201556203,8.70900595947147e-05,0.0008556522943681921,2.5961692313823465e-05,6.775903564559727e-05,0.0
2015-01,0.14585814683372195,0.136323164799252,0.06565158221618016,0.10254027083581892,0.05939476973605028,0.07358168155918818,0.2578376439225047,0.00020462835734924025,0.026396291158249017,0.08835581719536559,0.003937551092815772,0.0072406167341733324,0.0029774532131718145,0.0022992515090639906,0.0002928271963908698,0.025129361755798114,6.229402025584557e-05,0.001145997724940508,0.0005389172165127458,0.0001389732271365484,9.275969606055194e-05
2016-01,0.14914348921880252,0.15865917688940898,0.05161419639380433,0.09733439620434138,0.02202036137945647,0.040487504594984465,0.3450121239606616,0.00019774878085351057,0.024246019570801206,0.05192778511433175,0.0017204790337410425,0.015367454247278721,0.0034358043506475117,0.0019161643641187962,0.000643155248695439,0.032924286955765505,7.146729043321327e-05,0.002044163776706715,5.513460392482553e-05,0.00047648550489631564,0.0007026025163456832
2017-01,0.32906953265174477,0.24483569060926835,0.11337580680069115,0.11876019433699922,0.08493352402739837,0.03237638460007121,0.055810811953277556,1.0415377296813032e-05,0.0031161862564554567,0.0011562672020421613,0.0006289814675846672,0.0055203545041908435,0.0009454219257672386,0.001279301832072986,8.938223301635895e-06,0.0056376963251301955,0.00010135304215592359,0.0007038455968374389,0.00038715307008714236,0.0004059996455347766,0.0009361405520920307
2018-01,0.10770927130459383,0.10047520392817981,0.04690144413936841,0.11269595587233625,0.17726737901063497,0.20900619541741178,0.031487809899363346,0.0011358435677892408,0.005024875855766652,0.05522095893485898,0.010836414686091709,0.013669438031761044,0.0036358376470997746,0.004224386564688048,0.0005885337667968023,0.11391972821869198,4.677868958926086e-05,0.0012634233105071788,3.473635293142933e-05,0.0007993592068127885,0.004056425594726825
2019-01,0.15228440998782275,0.14234164864634477,0.0664356717218146,0.08253908146719839,0.05281323023936727,0.081731926953065,0.015137426040930997,9.138219018404057e-05,0.00069942357769569,0.39084509911394644,0.00042935252992441894,0.002242356521247379,0.0008460668384564616,0.0007696447633459598,0.0014266571791037817,0.0071936154861574845,0.00012164878051315835,0.0014232240218119906,8.911426562231633e-06,0.00024566065036134445,0.000373561864145992
2020-01,0.13335094956468563,0.10038355693696625,0.04494286366547357,0.13828796784877562,0.14954501943911053,0.2840583862423289,0.006612064129481303,0.0005541352391525696,0.0060329099410342465,0.04877518231986584,0.006480806293385967,0.012202405230869828,0.0013017736644099116,0.006312594998803284,0.004324263776516807,0.05145283484098288,0.00012121542837677341,0.00205992251093159,0.00028757874388458113,0.0016792986768573016,0.0012342705081066067
2021-01,0.13999500495496786,0.11690361584932882,0.051537032681870605,0.1494425406987009,0.20086075329253192,0.19639051032632285,0.0002876512328792999,0.000932008840997234,0.002166784263080413,0.02804779283299785,0.006378419541527295,0.005625472452447119,0.0003351734026804695,0.003448588220881614,0.008380505480800427,0.08568036019560825,7.599668910753855e-05,0.0011324054963475008,7.18976758296555e-06,0.0014518050147245705,0.0009203887646145897
