,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,515.0,497.0,546.0,591.0,531.0,666.0,574.0,580.0,539.0,772.0,726.0
1,572.0,491.0,570.0,553.0,564.0,531.0,594.0,733.0,724.0,689.0,575.0
2,507.0,617.0,504.0,515.0,636.0,590.0,697.0,606.0,714.0,565.0,755.0
기업수,1594.0,1605.0,1620.0,1659.0,1731.0,1787.0,1865.0,1919.0,1977.0,2026.0,2056.0
